session_id,audio_segment_id,source_asr_sentence_id,start_ms,end_ms,duration_ms,text_clean,audio_source_type,speaker_role,asr_quality,host_speech_usable,exclusion_reason,word_confidence_avg,word_confidence_min,word_count,speech_rate_chars_per_sec,pause_before_ms,pause_after_ms,volume_rms,volume_dbfs,peak_dbfs,emphasis_label,prosody_measure_status,evidence_ref,completion_status
latest_live_01,latest_live_01-A000012,12,88920,94760,5840,今天穿了一套，懂的我要声援一下我们的星爷，功夫女足。,host_speech,probable_host,high,true,,0.781,0.021,15,4.45,2920,5520,0.368188,-8.68,-0.64,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000013,13,100280,102560,2280,打不开的心门就不好，就慢慢慢。,unknown_audio,unknown,low,false,unstable_word_confidence,0.45,0.057,9,6.58,5520,280,0.291448,-10.71,-0.93,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial
latest_live_01,latest_live_01-A000014,14,102840,107760,4920,你要学的那个吕正里白的陈小春，否则就注定要当一辈子的光棍。,host_speech,probable_host,medium,true,,0.689,0.017,20,5.89,280,280,0.30727,-10.25,-0.78,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000015,15,108040,113000,4960,一看见你，我就想冲过去，就立刻让我血冲到脑子里去。,host_speech,probable_host,medium,true,,0.719,0.005,15,5.04,280,240,0.299619,-10.47,-0.67,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000016,16,113240,115920,2680,我的心里只会永远的恨。,host_speech,probable_host,high,true,,0.897,0.672,6,4.1,240,130,0.395103,-8.07,-0.32,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000017,17,116050,117010,960,恨你！,low_confidence_speech,unknown,low,false,low_asr_confidence,0.365,0.345,2,3.12,130,600,0.390545,-8.17,-0.61,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial
latest_live_01,latest_live_01-A000018,18,117610,118290,680,这是谁？,host_speech,probable_host,high,true,,0.972,0.968,2,5.88,600,160,0.437867,-7.17,-0.62,high_emphasis,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000019,19,118450,121930,3480,心仪宝贝，怎么会有这个、这个、这个表情？,host_speech,probable_host,high,true,,0.923,0.634,8,5.75,160,1320,0.394411,-8.08,-0.63,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000020,20,123250,123930,680,哎，还可以！,host_speech,probable_host,high,true,,0.785,0.606,2,8.82,1320,240,0.399362,-7.97,-0.57,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000021,21,124170,126010,1840,哎，评论区还可以发这个表情啊！,host_speech,probable_host,medium,true,,0.758,0.108,8,8.15,240,80,0.391682,-8.14,-0.32,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000022,22,126090,127370,1280,这个小猪猪好可爱！,host_speech,probable_host,high,true,,0.95,0.804,6,7.03,80,1680,0.364777,-8.76,-0.1,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000023,23,129050,133650,4600,一看到你，我就想冲到空气里，却冲到脑子里去。,unknown_audio,unknown,low,false,unstable_word_confidence,0.583,0.013,14,4.78,1680,240,0.31365,-10.07,-0.79,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial
latest_live_01,latest_live_01-A000024,24,133890,137770,3880,我的心里只会永远的恨你。,host_speech,probable_host,high,true,,0.899,0.755,7,3.09,240,1480,0.347843,-9.17,-0.39,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000025,25,139250,143970,4720,你跟着别人吃香又喝气，丢我在这里吹冷空气。,host_speech,probable_host,medium,true,,0.658,0.004,14,4.45,1480,200,0.319265,-9.92,-0.78,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000026,26,144170,147930,3760,我会活得正好，没没关系。,host_speech,probable_host,medium,true,,0.746,0.331,5,3.19,200,1760,0.349985,-9.12,-0.67,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000027,27,149690,157330,7640,心事那武功就累哦，还刺激！,unknown_audio,unknown,low,false,unstable_word_confidence,0.49,0.13,9,1.7,1760,680,0.316098,-10.0,-0.72,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial
latest_live_01,latest_live_01-A000028,28,158010,159490,1480,还可以发这个表情包！,host_speech,probable_host,high,true,,0.971,0.942,5,6.76,680,440,0.316388,-10.0,-1.09,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000029,29,159930,161170,1240,今天很帅是不是？,host_speech,probable_host,high,true,,0.926,0.88,4,6.45,440,1920,0.323009,-9.82,-1.11,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000030,30,163090,163770,680,好看吧？,host_speech,probable_host,high,true,,0.948,0.942,2,5.88,1920,720,0.305012,-10.31,-1.23,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000031,31,164490,166250,1760,给你们秀两招！,host_speech,probable_host,high,true,,0.798,0.536,4,3.98,720,2480,0.345089,-9.24,-0.87,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000032,32,168730,175170,6440,可是不会一杯二锅头哦，呛得眼泪流哦！,host_speech,probable_host,medium,true,,0.71,0.125,12,2.8,2480,280,0.319347,-9.91,-0.43,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000033,33,175450,175970,520,圣诞！,host_speech,probable_host,medium,true,,0.739,0.739,1,5.77,280,2090,0.320332,-9.89,-0.91,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000034,34,178060,184780,6720,好汉不回头，一杯二锅头，香得眼泪流。,host_speech,probable_host,high,true,,0.832,0.09,12,2.68,2090,1000,0.304308,-10.33,-0.86,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000035,35,185780,190100,4320,生旦净末丑，好看不回头。,low_confidence_speech,unknown,low,false,low_asr_confidence,0.391,0.005,8,2.78,1000,1960,0.307065,-10.26,-0.66,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial
latest_live_01,latest_live_01-A000036,36,192060,197100,5040,ok，好，欢迎大家等待热身的时间啊，唱一首歌给大家。,host_speech,probable_host,high,true,,0.904,0.501,12,5.16,1960,360,0.311191,-10.14,-0.75,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000037,37,197460,198340,880,好，算你狠。,host_speech,probable_host,medium,true,,0.748,0.121,4,6.82,360,160,0.267267,-11.46,-1.39,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000038,38,198500,206500,8000,哎呀，这首歌也是伴随着青春那个叛逆的青春期，那个时候看到三鸡哥，看到陈小春，看到陈浩南，有没有？,host_speech,probable_host,high,true,,0.932,0.383,25,6.0,160,240,0.280443,-11.04,-0.84,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000039,39,206740,210260,3520,哎呀，所以每一代你看都有每一代的追星梦，对不对？,host_speech,probable_host,high,true,,0.974,0.709,15,6.82,240,360,0.302331,-10.39,-0.96,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000040,40,210620,213660,3040,小的时候呢，我们追古惑仔，现在我们追什么？,host_speech,probable_host,high,true,,0.938,0.482,12,6.91,360,360,0.323252,-9.81,-0.27,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000041,41,214020,215460,1440,功夫女足。,host_speech,probable_host,high,true,,0.974,0.966,2,3.47,360,810,0.350208,-9.11,-0.78,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000042,42,216270,222230,5960,啊，所以今天我特地换上了一身功夫女族的服装，来声援一下星爷啊！,host_speech,probable_host,high,true,,0.852,0.017,22,5.2,810,40,0.297821,-10.52,-0.65,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000043,43,222270,224870,2600,我觉得周星驰真的是一代人的回忆。,host_speech,probable_host,high,true,,0.992,0.977,9,6.15,40,680,0.264558,-11.55,-1.11,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000044,44,225550,228990,3440,可能以前看他呢，只是觉得很无厘头，对吧？,host_speech,probable_host,high,true,,0.972,0.746,11,5.81,680,80,0.243725,-12.26,-1.15,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000045,45,229070,230190,1120,很搞笑啊！,host_speech,probable_host,high,true,,0.994,0.985,3,4.46,80,120,0.238406,-12.45,-1.14,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000046,46,230310,234990,4680,但是你会发现，其实他的每一部电影都非常的经典，且很值得回味。,host_speech,probable_host,high,true,,0.988,0.908,14,6.41,120,240,0.26259,-11.61,-1.06,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000047,47,235230,242510,7280,里面有很多思考、有很多启发，还有很多作为小人物能够感受到共鸣的点。,host_speech,probable_host,high,true,,0.986,0.905,14,4.53,240,240,0.271299,-11.33,-0.54,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000048,48,242750,243910,1160,所以，你们有没有去看呢？,host_speech,probable_host,high,true,,0.976,0.897,5,10.34,240,700,0.324533,-9.77,-1.2,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000049,49,244610,248330,3720,来，有看过的姐妹们，来 q 个小一一，把赞赞赞点起来一下啊。,host_speech,probable_host,high,true,,0.866,0.004,19,7.53,700,400,0.288661,-10.79,-0.91,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000050,50,248730,257290,8560,然后呢，我觉得，你看，就是为什么周星驰他在港圈的这个地位能够那么高，大家都叫他星爷，也只有这一个了。,host_speech,probable_host,high,true,,0.955,0.561,27,5.84,400,240,0.278528,-11.1,-0.76,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000051,51,257530,263890,6360,就是他的影片不只是他的票房很厉害，而是他有很强的家国情怀。,host_speech,probable_host,high,true,,0.995,0.98,16,4.56,240,320,0.231428,-12.71,-1.08,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000052,52,264210,280820,16610,所以你发现他的电影当中很多其实都是在弘扬我们中国的文化，然后呢用这种我们所谓的这种搞笑的、无厘头的方式，但是却让大家……啊，就是去对中国的文化、中国功夫、中国的足球，然后呢，有了非常多的这种就是追捧、热爱。,host_speech,probable_host,high,true,,0.952,0.14,50,6.2,320,80,0.258104,-11.76,-0.89,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000053,53,280900,292780,11880,我最近还刷到一个专门就是教功夫的一个、一个少林寺的武僧啊，然后完了过很多老外都专门从国外飞到中国来，然后在我们这边来去学习我们中国的功夫。,host_speech,probable_host,high,true,,0.978,0.824,43,5.81,80,200,0.254226,-11.9,-0.84,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000054,54,292980,299420,6440,我觉得这也是源自于我们有那么多影视作品的传播，所以一个好的泱泱大国当然是值得学习的。,host_speech,probable_host,high,true,,0.975,0.837,20,6.52,200,240,0.266378,-11.49,-0.81,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000055,55,299660,304480,4820,但是最近看这个电影啊……也发现了，商业真的是很无情的啊！,host_speech,probable_host,high,true,,0.884,0.121,16,5.81,240,120,0.228642,-12.82,-0.61,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000056,56,304600,310960,6360,即便是像星爷这么高的地位、这么多人的支持，然后居然还有很多人去偷票房，哈！,host_speech,probable_host,high,true,,0.973,0.697,18,5.82,120,200,0.253184,-11.93,-0.84,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000057,57,311160,322560,11400,还有很多就是、就是这些不法的进行这些什么影院，然后呢再去做的，还有很多人去抨击他、攻击他，啊，觉得他丑化了什么梨花队，对吧？,host_speech,probable_host,high,true,,0.919,0.008,35,5.44,200,120,0.252789,-11.94,-1.06,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000058,58,322680,329960,7280,丑化了大河队，丑化了对岸，怎么怎么样的，然后有很多就破防了，据说泡菜国已经破防了，哈！,host_speech,probable_host,high,true,,0.95,0.281,29,5.91,120,420,0.267697,-11.45,-0.54,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000059,59,330380,334820,4440,啊，所以今天特地穿上这身衣服，表示我对星爷的支持！,host_speech,probable_host,high,true,,0.941,0.411,14,5.63,420,120,0.244292,-12.24,-0.68,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000060,60,334940,336940,2000,哈，然后呢，大家也多多的支持。,host_speech,probable_host,high,true,,0.986,0.951,7,7.5,120,240,0.238111,-12.46,-1.22,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000061,61,337180,344780,7600,然后我最近看到很多企业、很多的品牌做活动，都把这个这个影迷那个什么电影票拿来做活动。,host_speech,probable_host,high,true,,0.953,0.226,22,5.53,240,120,0.258031,-11.77,-0.75,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000062,62,344900,351300,6400,包括我那天去洗头，我去做那个头疗的地方，他们让我办卡，说办卡就送星爷的电影票。,host_speech,probable_host,high,true,,0.963,0.269,26,6.09,120,160,0.258303,-11.76,-0.87,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000063,63,351460,353780,2320,我说：“哦，都已经这个样子支持了吗？,host_speech,probable_host,high,true,,0.799,0.074,9,7.76,160,600,0.295566,-10.59,-0.82,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000064,64,354380,360170,5790,”Ok，好，都看了哈，看了又看，嗯，木阳老师昨天看了哈，我看到了你发的那个视频哈。,host_speech,probable_host,high,true,,0.802,0.011,23,7.08,600,240,0.267417,-11.46,-1.09,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000065,65,360410,364490,4080,你看，每一个人看同样的电影，但是给我们的启发都不一样。,host_speech,probable_host,high,true,,0.987,0.873,11,6.62,240,320,0.22804,-12.84,-1.15,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000066,66,364810,367370,2560,所以我觉得就是这部影片还是非常值得看的。,host_speech,probable_host,high,true,,0.952,0.646,10,7.81,320,280,0.264663,-11.55,-0.74,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000067,67,367650,376810,9160,就一个是作为我们个人来讲，一个人心态上面的转化，从输赢对错，到非黑即白，到最后可以放松，可以包容。,host_speech,probable_host,high,true,,0.953,0.207,26,5.35,280,360,0.251105,-12.0,-1.06,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000068,68,377170,387210,10040,然后呢，这是一个人的，再到从我们说家国情怀的，那上面的每一个人，每一个代号，每一个动作，或者每个场景，都是有它的隐喻的。,host_speech,probable_host,high,true,,0.946,0.457,31,5.98,360,380,0.255564,-11.85,-0.85,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000069,69,387590,390830,3240,如果没有人去解析，可能一般人真的是看不懂这个隐喻。,host_speech,probable_host,high,true,,0.939,0.491,11,7.72,380,240,0.269116,-11.4,-0.79,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000070,70,391070,395390,4320,但是一解析过后，哇，这这就能感受到星爷的这种良苦用心哈！,host_speech,probable_host,high,true,,0.885,0.133,17,6.48,240,320,0.245434,-12.2,-0.75,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
latest_live_01,latest_live_01-A000071,71,395710,399550,3840,OK，好，那我们啊寒暄完了，接下来我们就要开始干嘛呢？,host_speech,probable_host,high,true,,0.881,0.393,14,7.03,320,400,0.273164,-11.27,-0.65,normal_volume,measured_from_source_audio_rms,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,passed
