session_id,semantic_event_id,start_ms,end_ms,observed_action,facial_expression,gaze_target,body_posture,hand_gesture,prop_interaction,courseware_interaction,action_observation_status,action_confidence,visual_evidence_ref,visual_evidence_source,completion_status
latest_live_01,latest_live_01-SEM0011-000000344900,344900,367370,speaking,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0002_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
latest_live_01,latest_live_01-SEM0012-000000367650,367650,395390,speaking_and_gesturing,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0007-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0013-000000395710,395710,412430,speaking_and_gesturing,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0007-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0014-000000412790,412790,424470,speaking_and_gesturing,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0007-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0015-000000424550,424550,446320,holding_and_manipulating_a_pink_ball,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0008-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0016-000000446960,446960,466960,holding_and_manipulating_a_pink_ball,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0008-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0017-000000467400,467400,489040,holding_and_manipulating_a_pink_ball,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0008-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0018-000000489450,489450,504370,demonstration,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0009-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0019-000000504410,504410,526030,demonstration,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0009-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0020-000000526150,526150,543390,demonstration,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0009-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0021-000000543670,543670,566670,双手在胸前做展开-合拢手势，配合语言节奏；身体轻微前倾,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0010-A02_qwen3-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0022-000000566830,566830,592320,双手在胸前做展开-合拢手势，配合语言节奏；身体轻微前倾,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0010-A02_qwen3-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0023-000000592680,592680,622000,speaking and gesturing,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0003_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
latest_live_01,latest_live_01-SEM0024-000000622240,622240,639120,speaking and gesturing,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0003_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
latest_live_01,latest_live_01-SEM0025-000000639200,639200,656100,speaking and gesturing,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0003_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
latest_live_01,latest_live_01-SEM0026-000000656500,656500,677140,speaking and gesturing,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0012-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0027-000000677380,677380,696580,speaking and gesturing,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0012-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0028-000000696900,696900,726810,speaking and gesturing,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0012-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0029-000000726930,726930,746650,手持粉色训练球，进行讲解和示范动作,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0013-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0030-000000746890,746890,761850,手持粉色训练球，进行讲解和示范动作,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0013-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0031-000000762210,762210,768970,手持粉色训练球，进行讲解和示范动作,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0013-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0032-000000769250,769250,792930,站立讲解,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0014-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0033-000000793090,793090,812600,站立讲解,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0014-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0034-000000812960,812960,820800,站立讲解,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0014-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0035-000000821120,821120,842650,站立讲解,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0014-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0036-000000843010,843010,862310,speaking_and_gesturing,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0015-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0037-000000862510,862510,876710,speaking_and_gesturing,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0015-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0038-000000877080,877080,896680,speaking_and_gesturing,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0015-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0039-000000896920,896920,922540,speaking and gesturing,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0004_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
latest_live_01,latest_live_01-SEM0040-000000923500,923500,933670,speaking and gesturing,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0004_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
latest_live_01,latest_live_01-SEM0041-000000933870,933870,964350,speaking and gesturing,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0004_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
latest_live_01,latest_live_01-SEM0042-000000964710,964710,993280,performing pelvic floor exercises,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0017-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0043-000001021240,1021240,1091360,指导盆底肌锻炼动作,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0018-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0044-000001092560,1092560,1179130,speaking and gesturing,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0019-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0045-000001179440,1179440,1214080,"demonstrating squatting motion with arm movements, alternating hand gestures (pointing up, open palms, fists), mouth open mid-speech or exhalation",,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0020-A02_qwen3-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0046-000001214480,1214480,1231550,hand gesture and body movement,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0005_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
latest_live_01,latest_live_01-SEM0047-000001231830,1231830,1258020,hand gesture and body movement,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0005_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
latest_live_01,latest_live_01-SEM0048-000001258620,1258620,1274060,站立讲解，伴随手势,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0022-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0049-000001274580,1274580,1292320,站立讲解，伴随手势,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0022-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0050-000001292480,1292480,1311320,站立讲解，伴随手势,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0022-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0051-000001311880,1311880,1327880,站立讲解，伴随手势,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0022-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0052-000001328200,1328200,1362370,站立讲解，手势辅助说明,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0023-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0053-000001362410,1362410,1377960,站立讲解，手势辅助说明,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0023-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0054-000001378280,1378280,1391120,讲解、手势演示,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0024-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0055-000001391240,1391240,1410070,讲解、手势演示,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0024-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0056-000001410190,1410190,1427900,讲解、手势演示,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0024-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0057-000001428540,1428540,1437620,讲解、手势演示,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0024-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0058-000001438020,1438020,1463540,手持粉色瑜伽球进行演示和讲解,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0025-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0059-000001463780,1463780,1483700,手持粉色瑜伽球进行演示和讲解,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0025-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0060-000001484020,1484020,1501880,手持粉色瑜伽球进行演示和讲解,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0025-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0061-000001501960,1501960,1511280,speaking and gesturing,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0006_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
latest_live_01,latest_live_01-SEM0062-000001511680,1511680,1536880,speaking and gesturing,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0006_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
latest_live_01,latest_live_01-SEM0063-000001537120,1537120,1550720,speaking and gesturing,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0006_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
latest_live_01,latest_live_01-SEM0064-000001551080,1551080,1580800,holding and demonstrating a pink ball,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0027-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0065-000001581930,1581930,1606690,holding and demonstrating a pink ball,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0027-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0066-000001607530,1607530,1631090,holding and demonstrating a pink ball,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0027-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0067-000001631490,1631490,1653030,sitting_on_a_bench,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0028-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0068-000001653310,1653310,1672060,sitting_on_a_bench,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0028-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0069-000001672420,1672420,1707650,指点、手势演示,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0029-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0070-000001708090,1708090,1719010,指点、手势演示,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0029-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0071-000001719370,1719370,1733420,指点、手势演示,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0029-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0072-000001733580,1733580,1741140,指点、手势演示,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0029-A01_qwen-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0073-000001741300,1741300,1751900,手持白色骨盆模型，配合讲解做左右轻微摆动演示；后期转向左侧并继续持模型讲解,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0030-A02_qwen3-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0074-000001752400,1752400,1771520,手持白色骨盆模型，配合讲解做左右轻微摆动演示；后期转向左侧并继续持模型讲解,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0030-A02_qwen3-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0075-000001771840,1771840,1797590,手持白色骨盆模型，配合讲解做左右轻微摆动演示；后期转向左侧并继续持模型讲解,,,,,,,observed_by_new_qwen_vl_window,,_local_runtime/最新直播实质全量补跑_latest_live_actual_full_remediation/actual_full_20260723_182107/missing_window_calls/raw_local/latest_live_01/latest_live_01-ACTQW0030-A02_qwen3-vl-plus.json,new_actual_remediation_qwen_vl,passed
latest_live_01,latest_live_01-SEM0076-000001797750,1797750,1813630,speaking and gesturing,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0007_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
latest_live_01,latest_live_01-SEM0077-000001813910,1813910,1839980,speaking and gesturing,,,,,,,observed_by_prior_qwen_vl_window,,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0007_qwen-vl-plus.json,prior_qwen_vl_137_windows,passed
