priority_rank,priority_score,session_id,review_item_id,related_event_id,related_comment_id,start_ms,timecode,risk_type,review_reason,evidence_refs,current_ai_status,suggested_review_action,completion_status
12,70,latest_live_01,RISK-00081,latest_live_01-SEM0006-000000192060,latest_live_01-COM00129,180000,00:03:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
13,70,latest_live_01,RISK-00119,latest_live_01-SEM0006-000000192060,latest_live_01-COM00187,180000,00:03:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
14,70,latest_live_01,RISK-00800,latest_live_01-SEM0006-000000192060,latest_live_01-COM00071,180000,00:03:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
15,70,latest_live_01,RISK-00837,latest_live_01-SEM0006-000000192060,latest_live_01-COM00129,180000,00:03:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
16,70,latest_live_01,RISK-00117,latest_live_01-SEM0008-000000244610,latest_live_01-COM00184,240000,00:04:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
17,70,latest_live_01,RISK-00872,latest_live_01-SEM0008-000000244610,latest_live_01-COM00184,240000,00:04:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
18,70,latest_live_01,RISK-00105,latest_live_01-SEM0010-000000322680,latest_live_01-COM00170,300000,00:05:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
19,70,latest_live_01,RISK-00860,latest_live_01-SEM0010-000000322680,latest_live_01-COM00170,300000,00:05:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
20,70,latest_live_01,RISK-00068,latest_live_01-SEM0012-000000367650,latest_live_01-COM00107,360000,00:06:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
21,70,latest_live_01,RISK-00130,latest_live_01-SEM0012-000000367650,latest_live_01-COM00201,360000,00:06:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
22,70,latest_live_01,RISK-00824,latest_live_01-SEM0012-000000367650,latest_live_01-COM00107,360000,00:06:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
23,70,latest_live_01,RISK-00027,latest_live_01-SEM0015-000000424550,latest_live_01-COM00041,420000,00:07:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
24,70,latest_live_01,RISK-00181,latest_live_01-SEM0015-000000424550,latest_live_01-COM00276,420000,00:07:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
25,70,latest_live_01,RISK-00783,latest_live_01-SEM0015-000000424550,latest_live_01-COM00041,420000,00:07:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
26,70,latest_live_01,RISK-00022,latest_live_01-SEM0021-000000543670,latest_live_01-COM00031,540000,00:09:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
27,70,latest_live_01,RISK-00023,latest_live_01-SEM0021-000000543670,latest_live_01-COM00032,540000,00:09:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
28,70,latest_live_01,RISK-00082,latest_live_01-SEM0021-000000543670,latest_live_01-COM00130,540000,00:09:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
29,70,latest_live_01,RISK-00083,latest_live_01-SEM0021-000000543670,latest_live_01-COM00131,540000,00:09:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
30,70,latest_live_01,RISK-00778,latest_live_01-SEM0021-000000543670,latest_live_01-COM00031,540000,00:09:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
31,70,latest_live_01,RISK-00779,latest_live_01-SEM0021-000000543670,latest_live_01-COM00032,540000,00:09:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
32,70,latest_live_01,RISK-00838,latest_live_01-SEM0021-000000543670,latest_live_01-COM00130,540000,00:09:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
33,70,latest_live_01,RISK-00839,latest_live_01-SEM0021-000000543670,latest_live_01-COM00131,540000,00:09:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
34,70,latest_live_01,RISK-00108,latest_live_01-SEM0024-000000622240,latest_live_01-COM00173,600000,00:10:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
35,70,latest_live_01,RISK-00863,latest_live_01-SEM0024-000000622240,latest_live_01-COM00173,600000,00:10:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
36,70,latest_live_01,RISK-00004,latest_live_01-SEM0027-000000677380,latest_live_01-COM00005,660000,00:11:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
37,70,latest_live_01,RISK-00128,latest_live_01-SEM0027-000000677380,latest_live_01-COM00198,660000,00:11:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
38,70,latest_live_01,RISK-00173,latest_live_01-SEM0027-000000677380,latest_live_01-COM00263,660000,00:11:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
39,70,latest_live_01,RISK-00760,latest_live_01-SEM0027-000000677380,latest_live_01-COM00005,660000,00:11:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
40,70,latest_live_01,RISK-00054,latest_live_01-SEM0029-000000726930,latest_live_01-COM00086,720000,00:12:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
41,70,latest_live_01,RISK-00080,latest_live_01-SEM0029-000000726930,latest_live_01-COM00128,720000,00:12:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
42,70,latest_live_01,RISK-00810,latest_live_01-SEM0029-000000726930,latest_live_01-COM00086,720000,00:12:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
43,70,latest_live_01,RISK-00836,latest_live_01-SEM0029-000000726930,latest_live_01-COM00128,720000,00:12:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
44,70,latest_live_01,RISK-00052,latest_live_01-SEM0036-000000843010,latest_live_01-COM00084,840000,00:14:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
45,70,latest_live_01,RISK-00075,latest_live_01-SEM0036-000000843010,latest_live_01-COM00119,840000,00:14:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
46,70,latest_live_01,RISK-00808,latest_live_01-SEM0036-000000843010,latest_live_01-COM00084,840000,00:14:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
47,70,latest_live_01,RISK-00831,latest_live_01-SEM0036-000000843010,latest_live_01-COM00119,840000,00:14:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
48,70,latest_live_01,RISK-00110,latest_live_01-SEM0040-000000923500,latest_live_01-COM00175,900000,00:15:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
49,70,latest_live_01,RISK-00149,latest_live_01-SEM0040-000000923500,latest_live_01-COM00226,900000,00:15:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
50,70,latest_live_01,RISK-00150,latest_live_01-SEM0040-000000923500,latest_live_01-COM00228,900000,00:15:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
51,70,latest_live_01,RISK-00865,latest_live_01-SEM0040-000000923500,latest_live_01-COM00175,900000,00:15:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
52,70,latest_live_01,RISK-00162,latest_live_01-SEM0043-000001021240,latest_live_01-COM00251,1020000,00:17:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
53,70,latest_live_01,RISK-00028,latest_live_01-SEM0044-000001092560,latest_live_01-COM00043,1080000,00:18:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
54,70,latest_live_01,RISK-00034,latest_live_01-SEM0044-000001092560,latest_live_01-COM00050,1080000,00:18:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
55,70,latest_live_01,RISK-00132,latest_live_01-SEM0044-000001092560,latest_live_01-COM00204,1080000,00:18:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
56,70,latest_live_01,RISK-00135,latest_live_01-SEM0044-000001092560,latest_live_01-COM00207,1080000,00:18:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
57,70,latest_live_01,RISK-00784,latest_live_01-SEM0044-000001092560,latest_live_01-COM00043,1080000,00:18:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
58,70,latest_live_01,RISK-00790,latest_live_01-SEM0044-000001092560,latest_live_01-COM00050,1080000,00:18:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
59,70,latest_live_01,RISK-00156,latest_live_01-SEM0045-000001179440,latest_live_01-COM00244,1140000,00:19:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
60,70,latest_live_01,RISK-00168,latest_live_01-SEM0045-000001179440,latest_live_01-COM00257,1140000,00:19:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
61,70,latest_live_01,RISK-00172,latest_live_01-SEM0045-000001179440,latest_live_01-COM00262,1140000,00:19:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
62,70,latest_live_01,RISK-00169,latest_live_01-SEM0046-000001214480,latest_live_01-COM00258,1200000,00:20:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
63,70,latest_live_01,RISK-00038,latest_live_01-SEM0059-000001463780,latest_live_01-COM00063,1440000,00:24:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
64,70,latest_live_01,RISK-00042,latest_live_01-SEM0059-000001463780,latest_live_01-COM00068,1440000,00:24:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
65,70,latest_live_01,RISK-00078,latest_live_01-SEM0059-000001463780,latest_live_01-COM00126,1440000,00:24:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
66,70,latest_live_01,RISK-00794,latest_live_01-SEM0059-000001463780,latest_live_01-COM00063,1440000,00:24:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
67,70,latest_live_01,RISK-00798,latest_live_01-SEM0059-000001463780,latest_live_01-COM00068,1440000,00:24:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
68,70,latest_live_01,RISK-00834,latest_live_01-SEM0059-000001463780,latest_live_01-COM00126,1440000,00:24:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
69,70,latest_live_01,RISK-00106,latest_live_01-SEM0061-000001501960,latest_live_01-COM00171,1500000,00:25:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
70,70,latest_live_01,RISK-00152,latest_live_01-SEM0061-000001501960,latest_live_01-COM00233,1500000,00:25:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
71,70,latest_live_01,RISK-00861,latest_live_01-SEM0061-000001501960,latest_live_01-COM00171,1500000,00:25:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
72,70,latest_live_01,RISK-00065,latest_live_01-SEM0070-000001708090,latest_live_01-COM00104,1680000,00:28:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
73,70,latest_live_01,RISK-00092,latest_live_01-SEM0070-000001708090,latest_live_01-COM00150,1680000,00:28:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
74,70,latest_live_01,RISK-00821,latest_live_01-SEM0070-000001708090,latest_live_01-COM00104,1680000,00:28:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
75,70,latest_live_01,RISK-00847,latest_live_01-SEM0070-000001708090,latest_live_01-COM00150,1680000,00:28:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
76,70,latest_live_01,RISK-00059,latest_live_01-SEM0073-000001741300,latest_live_01-COM00096,1740000,00:29:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
77,70,latest_live_01,RISK-00113,latest_live_01-SEM0073-000001741300,latest_live_01-COM00179,1740000,00:29:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
78,70,latest_live_01,RISK-00157,latest_live_01-SEM0073-000001741300,latest_live_01-COM00245,1740000,00:29:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
79,70,latest_live_01,RISK-00161,latest_live_01-SEM0073-000001741300,latest_live_01-COM00249,1740000,00:29:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
80,70,latest_live_01,RISK-00815,latest_live_01-SEM0073-000001741300,latest_live_01-COM00096,1740000,00:29:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
81,70,latest_live_01,RISK-00868,latest_live_01-SEM0073-000001741300,latest_live_01-COM00179,1740000,00:29:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
82,70,latest_live_01,RISK-00107,latest_live_01-SEM0077-000001813910,latest_live_01-COM00172,1800000,00:30:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
83,70,latest_live_01,RISK-00862,latest_live_01-SEM0077-000001813910,latest_live_01-COM00172,1800000,00:30:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
84,70,latest_live_01,RISK-00016,latest_live_01-SEM0079-000001864220,latest_live_01-COM00022,1860000,00:31:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
85,70,latest_live_01,RISK-00066,latest_live_01-SEM0079-000001864220,latest_live_01-COM00105,1860000,00:31:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
86,70,latest_live_01,RISK-00772,latest_live_01-SEM0079-000001864220,latest_live_01-COM00022,1860000,00:31:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
87,70,latest_live_01,RISK-00822,latest_live_01-SEM0079-000001864220,latest_live_01-COM00105,1860000,00:31:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
88,70,latest_live_01,RISK-00017,latest_live_01-SEM0082-000001925470,latest_live_01-COM00023,1920000,00:32:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
89,70,latest_live_01,RISK-00064,latest_live_01-SEM0082-000001925470,latest_live_01-COM00103,1920000,00:32:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
90,70,latest_live_01,RISK-00086,latest_live_01-SEM0082-000001925470,latest_live_01-COM00138,1920000,00:32:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
91,70,latest_live_01,RISK-00112,latest_live_01-SEM0082-000001925470,latest_live_01-COM00177,1920000,00:32:00,comment_reply_low_confidence,direct_reply_not_confirmed_or_comment_risk_present,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_takeover_or_safe_generic_answer,pending_human_review
92,70,latest_live_01,RISK-00773,latest_live_01-SEM0082-000001925470,latest_live_01-COM00023,1920000,00:32:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
93,70,latest_live_01,RISK-00820,latest_live_01-SEM0082-000001925470,latest_live_01-COM00103,1920000,00:32:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
94,70,latest_live_01,RISK-00841,latest_live_01-SEM0082-000001925470,latest_live_01-COM00138,1920000,00:32:00,comment_reply_causality_not_confirmed,true_source_limit_requires_human_review,temporal_proximity_only_not_enough_for_direct_reply,requires_human_review,manual_review_original_video_comment_and_host_speech,pending_human_review
