voice_clip_id,source_video,time_range,speech_style,emotion,speed,volume,pause_quality,background_noise,overlap_speech,clone_suitability,tts_reference_suitability,risk_note,omni_summary
V_R03_C5825_C01_opening,参考/完整直播录屏/今年直播素材/C5825.MP4,00:01:00-00:01:06,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R03_C5825_C02_middle,参考/完整直播录屏/今年直播素材/C5825.MP4,00:54:45-00:54:51,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,audio_candidate_visual_face_limited,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R03_C5825_C03_high_motion,参考/完整直播录屏/今年直播素材/C5825.MP4,01:09:16-01:09:22,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R03_C5825_C04_high_audio,参考/完整直播录屏/今年直播素材/C5825.MP4,00:03:17-00:03:23,steady_speech_with_pauses_estimate,模型辅助观察见 omni_summary,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,audio_candidate_visual_face_limited,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,"```json { ""voice_timbre"": ""中性"", ""speaking_speed"": ""适中"", ""pauses"": ""适度"", ""stress"": ""轻微"", ""tone"": ""平稳"", ""emotion_change"": ""无明显变化"", ""filler_words_if_audible"": ""无"", ""mouth_voice_alignment_risk"": ""低"", ""clone_suitability"": ""高"", ""tts_reference_suitability"": ""高"", ""action_voice_match"": ""匹配"", ""risk_note"": ""整体流畅，情感控制良好"" } ```"
V_R03_C5825_C05_closing,参考/完整直播录屏/今年直播素材/C5825.MP4,01:48:01-01:48:07,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R04_C5829_C01_opening,参考/完整直播录屏/今年直播素材/C5829.MP4,00:01:00-00:01:06,sparse_or_low_volume_speech_estimate,待验证_需人工听辨,偏慢/停顿多/音量低_待听辨,high_volume_or_loud_environment,停顿较多_可找干净句子但需听辨,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R04_C5829_C02_middle,参考/完整直播录屏/今年直播素材/C5829.MP4,00:55:10-00:55:16,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R04_C5829_C03_high_motion,参考/完整直播录屏/今年直播素材/C5829.MP4,01:23:05-01:23:11,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R04_C5829_C04_high_audio,参考/完整直播录屏/今年直播素材/C5829.MP4,00:56:30-00:56:36,steady_speech_with_pauses_estimate,模型辅助观察见 omni_summary,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,"```json { ""voice_timbre"": ""neutral"", ""speaking_speed"": ""slow"", ""pauses"": [""short""], ""stress"": ""none"", ""tone"": ""calm"", ""emotion_change"": ""none"", ""filler_words_if_audible"": ""none"", ""mouth_voice_alignment_risk"": ""low"", ""clone_suitability"": ""high"", ""tts_reference_suitability"": ""high"", ""action_voice_match"": ""none"", ""risk_note"": ""none"" } ```"
V_R04_C5829_C05_closing,参考/完整直播录屏/今年直播素材/C5829.MP4,01:48:51-01:48:57,sparse_or_low_volume_speech_estimate,待验证_需人工听辨,偏慢/停顿多/音量低_待听辨,high_volume_or_loud_environment,停顿较多_可找干净句子但需听辨,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R05_25_9_10_C01_opening,参考/完整直播录屏/直播效果一般/25年9.10视频号无违规.MP4,00:01:00-00:01:06,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R05_25_9_10_C02_middle,参考/完整直播录屏/直播效果一般/25年9.10视频号无违规.MP4,00:49:17-00:49:23,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,audio_candidate_visual_face_limited,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R05_25_9_10_C03_high_motion,参考/完整直播录屏/直播效果一般/25年9.10视频号无违规.MP4,01:37:55-01:38:01,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,audio_candidate_visual_face_limited,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R05_25_9_10_C04_high_audio,参考/完整直播录屏/直播效果一般/25年9.10视频号无违规.MP4,01:26:02-01:26:08,steady_speech_with_pauses_estimate,模型辅助观察见 omni_summary,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,audio_candidate_visual_face_limited,candidate_for_tts_rhythm_reference,mouth_visual_check_limited,"```json { ""voice_timbre"": ""中性"", ""speaking_speed"": ""适中"", ""pauses"": ""适度"", ""stress"": ""轻微"", ""tone"": ""平稳"", ""emotion_change"": ""无明显变化"", ""filler_words_if_audible"": ""偶尔有短暂停顿"", ""mouth_voice_alignment_risk"": ""低"", ""clone_suitability"": ""适合"", ""tts_reference_suitability"": ""适合"", ""action_voice_match"": ""匹配"", ""risk_note"": ""整体流畅自然"" } ```"
V_R05_25_9_10_C05_closing,参考/完整直播录屏/直播效果一般/25年9.10视频号无违规.MP4,01:37:05-01:37:11,sparse_or_low_volume_speech_estimate,待验证_需人工听辨,偏慢/停顿多/音量低_待听辨,high_volume_or_loud_environment,停顿较多_可找干净句子但需听辨,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R06_C5834_C01_opening,参考/完整直播录屏/直播效果一般/C5834（上）.MP4,00:01:00-00:01:06,sparse_or_low_volume_speech_estimate,待验证_需人工听辨,偏慢/停顿多/音量低_待听辨,high_volume_or_loud_environment,停顿较多_可找干净句子但需听辨,待人工听辨,待人工听辨,candidate_need_manual_listening,limited_need_manual_segmentation,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R06_C5834_C02_middle,参考/完整直播录屏/直播效果一般/C5834（上）.MP4,00:26:45-00:26:51,sparse_or_low_volume_speech_estimate,待验证_需人工听辨,偏慢/停顿多/音量低_待听辨,high_volume_or_loud_environment,停顿较多_可找干净句子但需听辨,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R06_C5834_C03_high_motion,参考/完整直播录屏/直播效果一般/C5834（上）.MP4,00:01:36-00:01:42,sparse_or_low_volume_speech_estimate,待验证_需人工听辨,偏慢/停顿多/音量低_待听辨,high_volume_or_loud_environment,停顿较多_可找干净句子但需听辨,待人工听辨,待人工听辨,limited_sparse_voice,limited_need_manual_segmentation,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R06_C5834_C04_high_audio,参考/完整直播录屏/直播效果一般/C5834（上）.MP4,00:46:26-00:46:32,steady_speech_with_pauses_estimate,模型辅助观察见 omni_summary,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,"```json { ""voice_timbre"": ""中性"", ""speaking_speed"": ""适中"", ""pauses"": ""适度"", ""stress"": ""轻微"", ""tone"": ""平稳"", ""emotion_change"": ""无明显变化"", ""filler_words_if_audible"": ""偶尔有停顿"", ""mouth_voice_alignment_risk"": ""低"", ""clone_suitability"": ""适合"", ""tts_reference_suitability"": ""适合"", ""action_voice_match"": ""匹配"", ""risk_note"": ""整体流畅"" } ```"
V_R06_C5834_C05_closing,参考/完整直播录屏/直播效果一般/C5834（上）.MP4,00:52:00-00:52:06,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,audio_candidate_visual_face_limited,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R07_C5835_C01_opening,参考/完整直播录屏/直播效果一般/C5835（下）.MP4,00:01:00-00:01:06,sparse_or_low_volume_speech_estimate,待验证_需人工听辨,偏慢/停顿多/音量低_待听辨,high_volume_or_loud_environment,停顿较多_可找干净句子但需听辨,待人工听辨,待人工听辨,audio_candidate_visual_face_limited,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R07_C5835_C02_middle,参考/完整直播录屏/直播效果一般/C5835（下）.MP4,00:25:54-00:26:00,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,audio_candidate_visual_face_limited,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R07_C5835_C03_high_motion,参考/完整直播录屏/直播效果一般/C5835（下）.MP4,00:38:44-00:38:50,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R07_C5835_C04_high_audio,参考/完整直播录屏/直播效果一般/C5835（下）.MP4,00:13:57-00:14:03,steady_speech_with_pauses_estimate,模型辅助观察见 omni_summary,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,audio_candidate_visual_face_limited,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,"```json { ""voice_timbre"": ""中性"", ""speaking_speed"": ""适中"", ""pauses"": ""适度"", ""stress"": ""轻微"", ""tone"": ""平稳"", ""emotion_change"": ""无明显变化"", ""filler_words_if_audible"": ""偶尔有短暂停顿"", ""mouth_voice_alignment_risk"": ""低"", ""clone_suitability"": ""适合"", ""tts_reference_suitability"": ""适合"", ""action_voice_match"": ""匹配"", ""risk_note"": ""整体流畅，情感表达自然"" } ```"
V_R07_C5835_C05_closing,参考/完整直播录屏/直播效果一般/C5835（下）.MP4,00:50:18-00:50:24,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R08_25_9_11_C01_opening,参考/完整直播录屏/直播效果好/25年9.11视频号背判两性低俗.MP4,00:01:00-00:01:06,sparse_or_low_volume_speech_estimate,待验证_需人工听辨,偏慢/停顿多/音量低_待听辨,high_volume_or_loud_environment,停顿较多_可找干净句子但需听辨,待人工听辨,待人工听辨,candidate_need_manual_listening,limited_need_manual_segmentation,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R08_25_9_11_C02_middle,参考/完整直播录屏/直播效果好/25年9.11视频号背判两性低俗.MP4,00:53:52-00:53:58,sparse_or_low_volume_speech_estimate,待验证_需人工听辨,偏慢/停顿多/音量低_待听辨,high_volume_or_loud_environment,停顿较多_可找干净句子但需听辨,待人工听辨,待人工听辨,audio_candidate_visual_face_limited,candidate_for_tts_rhythm_reference,mouth_visual_check_limited,未调用或调用失败/未覆盖本片段
V_R08_25_9_11_C03_high_motion,参考/完整直播录屏/直播效果好/25年9.11视频号背判两性低俗.MP4,00:03:14-00:03:20,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,audio_candidate_visual_face_limited,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R08_25_9_11_C04_high_audio,参考/完整直播录屏/直播效果好/25年9.11视频号背判两性低俗.MP4,00:42:10-00:42:16,steady_speech_with_pauses_estimate,模型辅助观察见 omni_summary,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,audio_candidate_visual_face_limited,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,"```json { ""voice_timbre"": ""中性"", ""speaking_speed"": ""适中"", ""pauses"": ""适度"", ""stress"": ""轻微"", ""tone"": ""平稳"", ""emotion_change"": ""无明显变化"", ""filler_words_if_audible"": ""无"", ""mouth_voice_alignment_risk"": ""低"", ""clone_suitability"": ""高"", ""tts_reference_suitability"": ""高"", ""action_voice_match"": ""匹配"", ""risk_note"": ""整体流畅自然"" } ```"
V_R08_25_9_11_C05_closing,参考/完整直播录屏/直播效果好/25年9.11视频号背判两性低俗.MP4,01:46:13-01:46:19,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R09_25_9_8_C01_opening,参考/完整直播录屏/直播效果好/25年9.8.MP4,00:01:00-00:01:06,sparse_or_low_volume_speech_estimate,待验证_需人工听辨,偏慢/停顿多/音量低_待听辨,high_volume_or_loud_environment,停顿较多_可找干净句子但需听辨,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R09_25_9_8_C02_middle,参考/完整直播录屏/直播效果好/25年9.8.MP4,00:45:50-00:45:56,sparse_or_low_volume_speech_estimate,待验证_需人工听辨,偏慢/停顿多/音量低_待听辨,high_volume_or_loud_environment,停顿较多_可找干净句子但需听辨,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R09_25_9_8_C03_high_motion,参考/完整直播录屏/直播效果好/25年9.8.MP4,01:19:58-01:20:04,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,audio_candidate_visual_face_limited,candidate_for_tts_rhythm_reference,mouth_visual_check_limited,未调用或调用失败/未覆盖本片段
V_R09_25_9_8_C04_high_audio,参考/完整直播录屏/直播效果好/25年9.8.MP4,00:02:45-00:02:51,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R09_25_9_8_C05_closing,参考/完整直播录屏/直播效果好/25年9.8.MP4,01:30:10-01:30:16,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R10_7_23_2_C01_opening,参考/完整直播录屏/直播较乱/7.23上午2号机位安全下播.MP4,00:01:00-00:01:06,sparse_or_low_volume_speech_estimate,待验证_需人工听辨,偏慢/停顿多/音量低_待听辨,high_volume_or_loud_environment,停顿较多_可找干净句子但需听辨,待人工听辨,待人工听辨,limited_sparse_voice,limited_need_manual_segmentation,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R10_7_23_2_C02_middle,参考/完整直播录屏/直播较乱/7.23上午2号机位安全下播.MP4,01:02:21-01:02:27,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R10_7_23_2_C03_high_motion,参考/完整直播录屏/直播较乱/7.23上午2号机位安全下播.MP4,00:33:49-00:33:55,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R10_7_23_2_C04_high_audio,参考/完整直播录屏/直播较乱/7.23上午2号机位安全下播.MP4,00:22:27-00:22:33,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R10_7_23_2_C05_closing,参考/完整直播录屏/直播较乱/7.23上午2号机位安全下播.MP4,02:03:12-02:03:18,sparse_or_low_volume_speech_estimate,待验证_需人工听辨,偏慢/停顿多/音量低_待听辨,low_volume,停顿较多_可找干净句子但需听辨,待人工听辨,待人工听辨,limited_sparse_voice,limited_need_manual_segmentation,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R11_7_15_C01_opening,参考/完整直播录屏/直播较乱/7月15下午二号机位.MP4,00:01:00-00:01:06,sparse_or_low_volume_speech_estimate,待验证_需人工听辨,偏慢/停顿多/音量低_待听辨,high_volume_or_loud_environment,停顿较多_可找干净句子但需听辨,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R11_7_15_C02_middle,参考/完整直播录屏/直播较乱/7月15下午二号机位.MP4,00:49:06-00:49:12,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R11_7_15_C03_high_motion,参考/完整直播录屏/直播较乱/7月15下午二号机位.MP4,00:02:57-00:03:03,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R11_7_15_C04_high_audio,参考/完整直播录屏/直播较乱/7月15下午二号机位.MP4,00:14:46-00:14:52,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
V_R11_7_15_C05_closing,参考/完整直播录屏/直播较乱/7月15下午二号机位.MP4,01:36:42-01:36:48,steady_speech_with_pauses_estimate,待验证_需人工听辨,中等稳定_待听辨,high_volume_or_loud_environment,停顿适中_适合TTS节奏参考,待人工听辨,待人工听辨,candidate_need_manual_listening,candidate_for_tts_rhythm_reference,needs_manual_listening_and_authorization_check,未调用或调用失败/未覆盖本片段
