bridge_id,field_type,lesson_id,source_type,source_quote,timecode,bridge_note,review_flag
B00011,直播讲解可用知识点,L1072,knowledge,保证手贴合对方丁丁，手腕灵活起来上下活动，随着你观察他的兴奋度上升，提升起来之后有意识，用自己的拇指去压住他最敏感的这条海绵体，进行一个上下的撸动,P0005,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00012,直播讲解可用知识点,L1072,knowledge,需要透过盆底肌去刺激到它内部的前列腺，一定要用力一些，要注意不要用指节去顶，而是手指面去顶住它，顶住做一些微微颤动的动作,P0006,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00013,直播讲解可用知识点,L1072,knowledge,利用包皮柔软的感觉，轻轻地挤压摩擦冠状沟，手小范围做上下撸的动作,P0008,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00014,直播讲解可用知识点,L1072,knowledge,7旋擦蘑菇：用手握住整个蘑菇头，让手心贴合住它的顶部，做一个旋转摩擦的动作,P0009,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00015,直播讲解可用知识点,L1072,knowledge,没有锻炼过盆底肌的男性，可能时间会比较短，针对他们，就可以省略掉这个集中刺激龟头爆炸的动作了,P0009,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00016,直播讲解可用知识点,L1072,knowledge,注意：由弱到强去刺激的，在实际使用过程当中是完全可以随着当时的状态，从温柔到强烈，如果希望他射的别太快，就可以回到那些缓慢刺激的方式继续延续，同时跟他说：我还要再玩一会儿，别着急,P0011,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00017,直播讲解可用知识点,L0001,knowledge,今天我们要上的课程是,00:00:06.280,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00018,直播讲解可用知识点,L0001,knowledge,盘体及私密训练的,00:00:14.480,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00019,直播讲解可用知识点,L0001,knowledge,那就是信技巧导师,00:00:19.360,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00020,直播讲解可用知识点,L0001,knowledge,我们怎么样就通过技巧,00:00:23.640,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00021,直播讲解可用知识点,L0001,knowledge,提升我们自身的愉悦度,00:00:26.720,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00022,直播讲解可用知识点,L0001,knowledge,参加了非常多的课程,00:00:30.640,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00023,直播讲解可用知识点,L0001,knowledge,非常多好用的技巧,00:00:33.600,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00024,直播讲解可用知识点,L0001,knowledge,都只是完成那个基本的反指动作,00:00:45.200,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00025,直播讲解可用知识点,L0001,knowledge,还有那么多的技巧,00:00:55.280,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00026,直播讲解可用知识点,L0001,knowledge,所以这个系列课程,00:00:56.640,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00027,直播讲解可用知识点,L0001,knowledge,到底我们的体位技巧,00:00:59.120,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00028,直播讲解可用知识点,L0001,knowledge,时候自己的体位技巧,00:01:02.560,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00029,直播讲解可用知识点,L0001,knowledge,怎么通过体位来提升自己,00:01:04.040,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00030,直播讲解可用知识点,L0001,knowledge,所以姐妹们准备好了,00:01:13.280,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00031,直播讲解可用知识点,L0001,knowledge,是不是很想要去听今天的课程呢,00:01:14.440,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00032,直播讲解可用知识点,L0001,knowledge,把每个动作都做一遍,00:01:28.520,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00033,直播讲解可用知识点,L0001,knowledge,最适合自己的那些姿势,00:01:33.960,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00034,直播讲解可用知识点,L0001,knowledge,那就是最适合你的,00:01:40.800,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00035,直播讲解可用知识点,L0001,knowledge,可能配合束缚的一些技巧,00:02:18.560,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00036,直播讲解可用知识点,L0001,knowledge,其实是要适合不同的人,00:02:26.080,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00037,直播讲解可用知识点,L0001,knowledge,我们情趣女王的课程,00:02:32.360,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00038,直播讲解可用知识点,L0001,knowledge,在防势养生当中的体位技巧,00:03:18.480,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00039,直播讲解可用知识点,L0001,knowledge,我们也会用到这样的方法,00:04:07.360,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00040,直播讲解可用知识点,L0001,knowledge,我需要学习这个体位技巧吗,00:04:14.560,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00041,直播讲解可用知识点,L0001,knowledge,一个非常好的方法,00:04:34.760,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00042,直播讲解可用知识点,L0001,knowledge,提升自己的愉悦感的,00:04:56.360,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00043,直播讲解可用知识点,L0001,knowledge,或者你想要提升你和伴侣之间的,00:04:58.080,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00044,直播讲解可用知识点,L0001,knowledge,想提升和伴侣之间的感受,00:05:01.560,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00045,直播讲解可用知识点,L0001,knowledge,或者我们想要掌握更多的技巧的,00:05:03.480,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00046,直播讲解可用知识点,L0001,knowledge,我们这一堂好体位上清云的课程哦,00:05:08.000,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00047,直播讲解可用知识点,L0002,knowledge,所以我们提前做好这些准备,00:02:54.260,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00048,直播讲解可用知识点,L0002,knowledge,是比较适合我们充次颠峰的时候,00:04:41.260,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00049,直播讲解可用知识点,L0002,knowledge,可以增加你们之间情绪的一些方法,00:08:54.460,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00050,直播讲解可用知识点,L0002,knowledge,所以这个后入式的训练,00:09:16.960,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00051,直播讲解可用知识点,L0003,knowledge,接下来我们就要开始做一些准备工作了,00:00:05.430,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00052,直播讲解可用知识点,L0003,knowledge,进行一个场地的准备,00:00:45.750,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00053,直播讲解可用知识点,L0003,knowledge,那除了场地的准备以外,00:00:47.590,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00054,直播讲解可用知识点,L0003,knowledge,其实我们自己的着装的准备,00:00:49.550,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00055,直播讲解可用知识点,L0003,knowledge,那你穿的衣服也要比较适合,00:00:55.390,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00056,直播讲解可用知识点,L0003,knowledge,很适合自己的情绪服饰,00:01:09.390,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00057,直播讲解可用知识点,L0003,knowledge,非常好的这样一个方法,00:01:15.390,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00058,直播讲解可用知识点,L0003,knowledge,怎么选择适合自己的情绪衣服呢,00:01:24.870,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00059,直播讲解可用知识点,L0003,knowledge,我们会在情绪女王的课程当中,00:01:27.030,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00060,直播讲解可用知识点,L0003,knowledge,应该选择什么是自己适合的衣服,00:01:31.190,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00061,直播讲解可用知识点,L0003,knowledge,那我们除了服装场景的准备以外,00:01:33.790,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00062,直播讲解可用知识点,L0003,knowledge,我们还可以给自己准备一些枕头,00:01:36.270,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00063,直播讲解可用知识点,L0003,knowledge,作为辅助我们在一些动作的时候,00:02:02.190,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00064,直播讲解可用知识点,L0003,knowledge,我会建议大家还可以准备一些辅助的道具,00:02:09.150,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00065,直播讲解可用知识点,L0003,knowledge,我们也可以给自己准备一些,00:02:17.750,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00066,直播讲解可用知识点,L0003,knowledge,你们也可以给自己准备一些,00:03:13.710,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00067,直播讲解可用知识点,L0003,knowledge,我们需要准备的这些内容过后,00:03:31.110,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00068,直播讲解可用知识点,L0004,knowledge,我们在准备食草之前,00:00:01.360,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00069,直播讲解可用知识点,L0004,knowledge,九种内形的女性的体味技巧,00:00:08.560,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00070,直播讲解可用知识点,L0004,knowledge,可以去找到我们的课程助理,00:00:19.000,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00071,直播讲解可用知识点,L0004,knowledge,我们会匹配适合什么样的知识,00:00:28.000,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00072,直播讲解可用知识点,L0004,knowledge,和阴腑的厚薄有关系,00:01:56.800,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00073,直播讲解可用知识点,L0004,knowledge,那第二个 跟什么有关系呢,00:01:59.600,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00074,直播讲解可用知识点,L0004,knowledge,到我们的阴道口的这个地方的位置有关系,00:02:04.480,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00075,直播讲解可用知识点,L0004,knowledge,我们就不适合传统的这种传教式,00:02:32.080,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00076,直播讲解可用知识点,L0004,knowledge,它还跟我们的健康有关系,00:02:42.400,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00077,直播讲解可用知识点,L0004,knowledge,你才能找到最佳适合自己的方式,00:03:36.880,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00078,直播讲解可用知识点,L0004,knowledge,以及我们阴道的深处有关系,00:03:47.160,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00079,直播讲解可用知识点,L0004,knowledge,那她比较适合的姿势,00:04:25.200,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00080,直播讲解可用知识点,L0004,knowledge,她比较适合的姿势,00:04:33.400,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00081,直播讲解可用知识点,L0004,knowledge,那么她们会比较适合的,00:04:55.960,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00082,直播讲解可用知识点,L0004,knowledge,像狐女她就不太适合,00:05:17.760,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00083,直播讲解可用知识点,L0004,knowledge,就是比较适合我们的狐女的,00:05:25.480,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00084,直播讲解可用知识点,L0004,knowledge,我们都可以找到适合自己的体位,00:05:29.520,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00085,直播讲解可用知识点,L0004,knowledge,她也比较适合这种传教式,00:05:36.640,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00086,直播讲解可用知识点,L0004,knowledge,她也比较适合在上位,00:05:42.840,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00087,直播讲解可用知识点,L0004,knowledge,最适合我们的过后,00:05:56.400,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00088,直播讲解可用知识点,L0005,knowledge,因為這個裡面它有個核心成分,00:12:07.800,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00089,直播讲解可用知识点,L0005,knowledge,提升自己感受的節目,00:13:33.400,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00090,直播讲解可用知识点,L0006,knowledge,策卧室比较适合什么样子的情况 什么内心,00:00:05.650,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00091,直播讲解可用知识点,L0006,knowledge,策卧室首先比较适合可能我们的体力不是很好的时候,00:00:09.650,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00092,直播讲解可用知识点,L0006,knowledge,这可是可以适合策卧室,00:01:10.570,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00093,直播讲解可用知识点,L0006,knowledge,但是大部分的人其实都是适合的,00:02:07.970,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00094,直播讲解可用知识点,L0006,knowledge,我们就需要呼吸的配合,00:04:07.810,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00095,直播讲解可用知识点,L0006,knowledge,可以配合呼吸吸气,00:04:15.610,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00096,直播讲解可用知识点,L0006,knowledge,所以我们平时的呼吸,00:04:34.010,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00097,直播讲解可用知识点,L0006,knowledge,可以来到我们私命瑜伽的课程当中,00:04:40.570,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00098,直播讲解可用知识点,L0006,knowledge,如何把呼吸带到深知系统,00:04:43.890,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00099,直播讲解可用知识点,L0006,knowledge,怎么通过呼吸调动,00:04:45.970,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00100,直播讲解可用知识点,L0006,knowledge,配合我们的呼吸吸气,00:05:02.450,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00101,直播讲解可用知识点,L0006,knowledge,我们可以用这样的少式呼吸,00:05:41.930,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00102,直播讲解可用知识点,L0006,knowledge,除了可以用少式呼吸以外,00:05:46.210,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00103,直播讲解可用知识点,L0006,knowledge,通过呼吸通过连接,00:08:41.850,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00104,直播讲解可用知识点,L0006,knowledge,我们也可以配合呼吸,00:08:55.570,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00105,直播讲解可用知识点,L0007,knowledge,你大概就可以判断,00:00:53.800,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00106,直播讲解可用知识点,L0007,knowledge,其实还蛮适合我们这类型的女生,00:01:21.000,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00107,直播讲解可用知识点,L0007,knowledge,我们的私密与家的训练呢,00:04:34.200,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00108,直播讲解可用知识点,L0007,knowledge,要训练我们骨盆的灵活性,00:04:36.200,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00109,直播讲解可用知识点,L0007,knowledge,训练我们骨盆的力量,00:04:38.900,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00110,直播讲解可用知识点,L0007,knowledge,还要训练我们盆底积的收缩,00:04:40.800,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00111,直播讲解可用知识点,L0007,knowledge,就会提升我们在心爱的过程当中的,00:05:48.700,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00112,直播讲解可用知识点,L0007,knowledge,这个动作叫道卦筋勾,00:06:01.700,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00113,直播讲解可用知识点,L0007,knowledge,我们的私密养护的专场的课程,00:07:31.300,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00114,直播讲解可用知识点,L0008,knowledge,今天我们要上的课程是,00:00:05.140,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00115,直播讲解可用知识点,L0008,knowledge,盘底机私密训练的,00:00:13.260,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00116,直播讲解可用知识点,L0008,knowledge,那就是信技巧导师,00:00:18.220,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00117,直播讲解可用知识点,L0008,knowledge,我们怎么样是通过技巧,00:00:22.460,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00118,直播讲解可用知识点,L0008,knowledge,提升我们自身的预约度,00:00:25.580,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00119,直播讲解可用知识点,L0008,knowledge,参加了非常多的课程,00:00:29.420,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00120,直播讲解可用知识点,L0008,knowledge,非常多好用的技巧,00:00:32.380,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00121,直播讲解可用知识点,L0008,knowledge,完成那个基本的繁殖动作,00:00:44.540,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00122,直播讲解可用知识点,L0008,knowledge,殊不知原来体位还有那么多的技巧,00:00:52.700,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00123,直播讲解可用知识点,L0008,knowledge,所以这个系列课程,00:00:55.460,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00124,直播讲解可用知识点,L0008,knowledge,到底我们的体位技巧,00:00:57.980,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00125,直播讲解可用知识点,L0008,knowledge,时候自己的体位技巧,00:01:01.380,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00126,直播讲解可用知识点,L0008,knowledge,怎么通过体位来提升自己,00:01:02.900,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00127,直播讲解可用知识点,L0008,knowledge,所以姐妹们准备好了,00:01:12.100,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00128,直播讲解可用知识点,L0008,knowledge,是不是很想要去听今天的课程呢,00:01:13.260,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00129,直播讲解可用知识点,L0008,knowledge,就像是钥匙和锁的关系一样的,00:02:41.760,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00130,直播讲解可用知识点,L0008,knowledge,有可能是我们的方法,00:03:29.090,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00131,直播讲解可用知识点,L0008,knowledge,我们要学习体味课程,00:03:47.610,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00132,直播讲解可用知识点,L0008,knowledge,我就把老师教我的动作,00:04:36.790,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00133,直播讲解可用知识点,L0008,knowledge,把每个动作都做一遍,00:04:46.110,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00134,直播讲解可用知识点,L0008,knowledge,寻找到最适合自己的,00:04:50.990,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00135,直播讲解可用知识点,L0008,knowledge,那就是最适合你的,00:04:58.430,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00136,直播讲解可用知识点,L0008,knowledge,可能配合束缚的一些技巧,00:05:36.150,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00137,直播讲解可用知识点,L0008,knowledge,其实是要适合不同的人,00:05:44.150,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00138,直播讲解可用知识点,L0008,knowledge,我们情趣女王的课程,00:05:50.430,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00139,直播讲解可用知识点,L0008,knowledge,在防世养生当中的体味技巧,00:06:37.750,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00140,直播讲解可用知识点,L0008,knowledge,我们也会用到这样的方法,00:07:29.910,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00141,直播讲解可用知识点,L0008,knowledge,我需要学习这个体味技巧吗,00:07:37.110,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00142,直播讲解可用知识点,L0008,knowledge,一个非常好的方法,00:07:57.270,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00143,直播讲解可用知识点,L0008,knowledge,如果你是想要提升自己的愉悦感的,00:08:17.550,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00144,直播讲解可用知识点,L0008,knowledge,想提升和伴侣之间的感受,00:08:24.110,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00145,直播讲解可用知识点,L0008,knowledge,或者我们想要掌握更多的技巧的,00:08:25.990,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00146,直播讲解可用知识点,L0008,knowledge,我们这一堂好体位上清明的课程哦,00:08:30.550,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00147,直播讲解可用知识点,L0009,knowledge,九種內心的女性的體位技巧,00:00:09.120,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00148,直播讲解可用知识点,L0010,knowledge,接下来我们就要开始做一些准备工作了,00:00:04.520,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00149,直播讲解可用知识点,L0010,knowledge,进行一个这样的一个场地的准备,00:00:44.840,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00150,直播讲解可用知识点,L0010,knowledge,除了场地的准备以外,00:00:48.640,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00151,直播讲解可用知识点,L0010,knowledge,其实我们自己的着装的准备,00:00:50.560,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00152,直播讲解可用知识点,L0010,knowledge,那你穿的衣服也要比较适合,00:00:56.400,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00153,直播讲解可用知识点,L0010,knowledge,很适合自己的情绪服饰,00:01:10.440,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00154,直播讲解可用知识点,L0010,knowledge,非常好的这样一个方法,00:01:16.920,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00155,直播讲解可用知识点,L0010,knowledge,怎么选择适合自己的情绪衣服呢,00:01:26.440,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00156,直播讲解可用知识点,L0010,knowledge,我们会在情绪女王的课程当中,00:01:28.600,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00157,直播讲解可用知识点,L0010,knowledge,应该选择什么是自己的适合的衣服,00:01:32.720,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00158,直播讲解可用知识点,L0010,knowledge,那我们除了服装场景的准备以外,00:01:35.520,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00159,直播讲解可用知识点,L0010,knowledge,我们还可以给自己准备一些枕头,00:01:38.080,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00160,直播讲解可用知识点,L0010,knowledge,作为辅助我们在一些动作的时候,00:02:04.440,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00161,直播讲解可用知识点,L0010,knowledge,还可以准备一些辅助的道具,00:02:12.520,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
B00162,直播讲解可用知识点,L0010,knowledge,我们也可以给自己准备一些,00:02:20.040,可迁移字段候选；不是最终直播话术，需人工复核后再入库,needs_human_review
