term,lesson_id,source_quote,timecode,definition_or_context,review_flag
按摩,L0013,通过按摩来促进它的吸收,00:03:55.430,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0014,我们就需要呼吸的配合,00:04:15.840,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0014,可以来到我们私密瑜伽的课程当中,00:04:48.540,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0014,可以来到我们私密瑜伽的课程当中,00:04:48.540,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0014,通过盆底肌的收紧,00:09:32.580,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0015,我們在私密瑜伽當中,00:03:37.950,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0016,南星老師是教私密瑜伽的,00:00:11.020,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0018,我们会在情绪女王的课程当中教大家,00:01:28.140,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0019,我们的死米养护的专场的课程,00:07:58.000,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0019,给它按摩让它变得更保满,00:08:08.000,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0020,用我们的骨盆盆底肌,00:07:29.000,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0021,又能在这个过程当中通过按摩来,00:03:53.230,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0022,我们就需要呼吸的配合,00:04:15.050,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0022,可以来到我们私女一家的课程当中,00:04:48.050,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0023,"像斯丹白,这样子按摩油",00:06:36.000,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0041,要教大家怎么做私密按摩,00:05:00.390,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0041,后面的课程会给大家讲,00:09:10.710,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0041,所以我们在私密瑜伽的练习过程当中,00:12:59.150,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密训练,L0042,来去开发的私密训练的道具的,00:02:22.260,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0042,以及我们私密瑜伽和私密锤吊,00:03:30.460,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0044,所以我們通過私密瑜伽的訓練,00:04:32.800,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0044,我們可以給他經常做一些按摩,00:07:05.920,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0045,在我们私密家的课程当中,00:10:21.550,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0046,我们要训练我们的盆底肌,00:00:01.680,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0046,所以在我们做私密瑜伽,00:01:31.160,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0046,用盆底机的呼吸来带动,00:10:47.240,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0048,它就会像呼吸一样简单,00:02:34.240,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0049,我也需要練私密瑜伽嗎,00:07:51.820,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0050,那我们接下来我们还可以对它进行按摩,00:03:15.280,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0051,包括還有我們的盆底肌,00:04:25.630,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0051,對 伴隨著我們的呼吸,00:06:11.630,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0052,对 伴随着我们的呼吸,00:01:53.340,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0052,我们的盆底肌就不能得到充分的欢喜,00:03:25.980,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0054,来 配合我们的呼吸,00:01:29.490,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0054,去感受我们盆底肌和心,00:05:55.890,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0055,来配合我们的呼吸,00:01:49.900,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0055,我們的整個盆底肌,00:09:29.100,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0056,我们需要配合我们的呼吸,00:04:48.700,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0056,把注意力放在我们的整个盆底肌,00:07:33.730,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0057,在这个练习的时候我们需要配合我们的呼吸,00:00:51.150,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0057,这个时候我们的盆底肌得到最大线度的扩张,00:01:42.230,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0058,首先它是可以讓我們整個盆底肌,00:00:47.800,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0059,用我們的呼吸帶動我們的身體,00:01:08.090,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0060,那么如果我们的盆底肌的弹性不好,00:01:43.020,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0060,把呼吸带到我们整个的盆底肌的位置,00:09:00.990,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0061,放在我们的整个盆底肌的位置,00:04:42.850,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0061,把呼吸带到我们整个的盆底肌的位置,00:06:17.650,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0062,那么如果我们的盆底肌的弹性不好,00:01:40.490,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0063,接下来我们跟随着音乐和呼吸的声音,00:00:00.430,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0064,如果我们在中途不能够控制呼吸,00:06:55.530,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0065,让我们的盆底肌属于中立位,00:03:33.010,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0065,不能够控制呼吸呢,00:04:22.970,从课程原文上下文提取，需人工补充准确定义,needs_human_review
冥想,L0068,所以我们的连花冥想的,00:00:27.650,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0068,当我们把呼吸带到我们的阴道里面,00:03:10.770,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0069,当我们把呼吸带到我们的阴道里面,00:00:26.290,从课程原文上下文提取，需人工补充准确定义,needs_human_review
冥想,L0070,所以我们的连花冥想的,00:00:27.660,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0072,因为它叫三维呼吸,00:01:02.250,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0072,还是可以帮我们收紧我们整个盆底肌,00:01:40.170,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0073,呼吸其實是我們每天日常生活當中都避不可少的,00:00:03.620,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0073,盆底肌向上提的感覺,00:07:38.500,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0074,因为它叫三维呼吸,00:01:02.250,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0074,还是可以帮我们收紧我们整个盆底肌,00:01:40.170,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0075,用呼吸來帶動我們整個身體,00:00:11.840,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0076,来配合我们的呼吸,00:01:48.950,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0076,我們的整個盆底肌,00:09:27.990,从课程原文上下文提取，需人工补充准确定义,needs_human_review
冥想,L0076,接下来我们练习 第六个动作 莲花冥想,00:32:08.520,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0077,那我们盆底肌并没有动到,00:04:00.360,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0077,就是我们的膀腔呼吸,00:04:36.360,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0078,开展了我们私密瑜伽的系列训练课程,00:00:31.680,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0078,开展了我们私密瑜伽的系列训练课程,00:00:31.680,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0078,我们只需要透过我们吸管式呼吸的方式,00:06:38.680,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密训练,L0078,所以我们的私密训练,00:17:20.200,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0078,要给它做一些按摩,00:20:20.800,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0079,欢迎来到我们的21天私密瑜伽,00:00:06.810,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0079,在我们的骨盆的底部就是我们的盆底肌,00:01:13.010,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0079,用吸管式呼吸的方式向上吸,00:01:54.170,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0079,我们的歪音的按摩,00:21:09.850,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0080,开展了我们私密瑜伽的系列训练课程,00:00:31.580,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0080,开展了我们私密瑜伽的系列训练课程,00:00:31.580,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0080,我们要先学会通过呼吸,00:09:14.380,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0080,帮我们去按摩我们的硬道臂,00:17:23.500,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0081,开展了我们私密瑜伽的系列训练课程,00:00:31.580,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0081,开展了我们私密瑜伽的系列训练课程,00:00:31.580,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0081,练习我们的盆底肌,00:07:49.740,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0082,呼吸点血拉筋的板块来进行,00:02:44.820,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0082,好 用我们的盆底肌,00:11:43.990,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0082,是可以经常去做按摩的,00:15:03.990,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0083,瓦斯阿瓦的呼吸法,00:04:13.820,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0084,私密瑜伽训练营的,00:00:07.730,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0084,因为视频课程的原因,00:01:14.450,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0084,我们来先进行我们的膀腔呼吸,00:01:33.570,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0084,它会帮我们去按摩,00:01:50.330,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0085,它是跟著我們的呼吸的節奏,00:20:54.570,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0085,所以每次練習結束過後的按摩,00:23:23.290,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0086,我们要透过我们的呼吸,00:01:34.680,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0086,然后来去帮助我们去按摩的,00:06:24.010,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0088,第一个是我们要学会用我们的呼吸,00:01:48.420,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0088,去按摩我们的肋脏器官,00:16:39.020,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0088,用我们盆底肌的收缩,00:18:31.450,从课程原文上下文提取，需人工补充准确定义,needs_human_review
私密瑜伽,L0089,开展了我们私密瑜伽的系列训练课程,00:00:31.650,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0089,开展了我们私密瑜伽的系列训练课程,00:00:31.650,从课程原文上下文提取，需人工补充准确定义,needs_human_review
美臀训练,L0089,里面有我们的美臀训练的滑行盘,00:01:21.610,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0089,我们的呼吸是保持自然的,00:07:16.450,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0090,我們的核心以及我們盆底肌的力量,00:01:00.770,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0091,我們的核心以及我們盆底肌的力量,00:01:00.770,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0092,帶動我們整個內部的盆底肌群和,00:13:38.090,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0092,幫助我們去按摩我們的這些脹氣,00:13:41.330,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0092,"右,前,左,後,右,前,左,後,配合呼吸,右",00:24:08.050,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0093,大家可以配合我們的按摩手法,00:06:47.810,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0094,通過我們的擠壓可以很好的按摩,00:01:31.550,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0094,讓我們的盆底肌群,00:01:49.350,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0095,这节课我们要学习的动作是三维呼吸,00:00:04.690,从课程原文上下文提取，需人工补充准确定义,needs_human_review
冥想,L0095,被广泛的用在我们的冥想压,00:04:02.890,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0095,盆底肌就会受到腹部的压力,00:15:33.610,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0096,我們同樣配合我們的呼吸,00:03:33.220,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0096,盆底肌的力量變強,00:05:46.340,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0097,幫我們按摩和刺激我們的會暈血,00:02:45.000,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0097,盆底肌收緊 提缸縮陰,00:06:14.870,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0098,我们的盆底肌和骨盆的区域,00:04:59.660,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0098,呼吸收緊張體 核心收緊,00:08:28.420,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0099,带动我们的整个膀底肌以及我们的肋脏进行按摩,00:06:08.780,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0099,接下來我們練習三位呼吸平躺,00:09:16.480,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0099,盆底肌的力量收緊上提,00:33:44.480,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0100,帶動我們的整個盆底肌群,00:12:08.200,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0100,最後一次呼吸收 吸氣放來到你的小骨盆,00:22:45.010,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0100,以及我們的肋臟進行按摩,00:23:01.850,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0101,大家可以配合我們的按摩手法,00:06:47.850,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0102,通过我们的挤压可以很好的按摩,00:01:31.650,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0103,这节课我们要学习的动作是三维呼吸,00:00:04.690,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0103,它就像是在跟你的内脏做按摩一样的,00:02:54.690,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0103,盆底肌就会受到腹部的压力,00:15:32.790,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0104,我們同樣配合我們的呼吸,00:03:33.220,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0104,盆底肌的力量變強,00:05:46.340,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0105,幫我們按摩和刺激我們的會暈血,00:02:45.000,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0105,盆底肌收緊 提缸縮陰,00:06:14.870,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0106,盆底肌和骨盆的区域,00:05:00.660,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0107,接下来我们练习三维呼吸平躺,00:09:15.580,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0107,盆底肌的力量收緊上提,00:33:44.460,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0108,也能够得到一个很温和的按摩和刺激,00:01:20.000,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0108,先从我们的盆底肌开始,00:13:17.870,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0108,"呼吸向前,吸氣向後",00:23:51.460,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0109,大家可以配合我们的按摩手法,00:06:54.120,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0110,通過我們的擠壓可以很好的按摩,00:01:30.070,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0110,它可以幫我們激活盆底肌,00:01:57.150,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0111,這節課呢我們要學習的動作是三維呼吸,00:00:03.340,从课程原文上下文提取，需人工补充准确定义,needs_human_review
冥想,L0111,被廣泛的用在我們的冥想壓,00:04:02.740,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0111,盆底肌就會受到腹部的壓力,00:15:41.940,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0112,我們同樣配合我們的呼吸,00:03:32.500,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0113,安全的帮我们按摩,00:02:42.510,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0114,集中在我们的盆底肌和骨盆的区域,00:05:04.020,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0114,呼吸收紧 吸气放松,00:10:07.820,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0115,最後一次呼吸收 吸氣放,00:05:53.270,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0115,以及我們的肋臟進行按摩,00:06:10.270,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0115,放 用骨盆的力量 盆底肌的力量收緊上提,00:34:51.200,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0116,以及我們盆底肌的力量,00:01:02.530,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0117,也能够得到一个很温和的按摩和刺激,00:01:20.040,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0117,带动我们的整个盆底肌群,00:12:12.700,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0118,大家可以配合我们的按摩手法,00:06:54.100,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0119,通過我們的擠壓可以很好的按摩,00:01:30.070,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0119,它可以幫我們激活盆底肌,00:01:57.150,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0120,這節課呢我們要學習的動作是三維呼吸,00:00:03.340,从课程原文上下文提取，需人工补充准确定义,needs_human_review
冥想,L0120,被廣泛的用在我們的冥想壓,00:04:02.740,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0120,盆底肌就會受到腹部的壓力,00:15:42.000,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0121,我們同樣配合我們的呼吸,00:03:32.500,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0122,幫我們按摩和刺激我們的混音血,00:02:43.420,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0123,将力量集中在我们的盆底肌,00:05:03.380,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0123,呼吸收紧 吸气放松,00:09:38.100,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0124,再動我們的整個膀體肌以及我們的肋臟進行按摩,00:06:07.450,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0124,好 接下來我們練習三位呼吸平躺,00:09:19.700,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0124,用骨盆和盆底肌的力量,00:39:34.600,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0125,以及我們盆底肌的力量,00:01:02.530,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0126,我们的核心以及我们盆底肌的力量,00:01:00.720,从课程原文上下文提取，需人工补充准确定义,needs_human_review
课程,L0126,那我们整个的课程,00:02:07.160,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0126,三维呼吸仗服练习,00:03:52.760,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0128,帶動我們的整個盆底肌,00:06:06.770,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0129,我們要學習的動作是三維呼吸,00:00:11.910,从课程原文上下文提取，需人工补充准确定义,needs_human_review
冥想,L0129,冥想壓正念訓練的,00:04:18.350,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0130,我们先来学会如何正确的呼吸,00:00:06.900,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0130,盆底肌就会受到腹部的压力,00:10:29.730,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0131,好 接下来我们练习三维呼吸平躺,00:00:03.180,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0132,通過我們的擠壓可以很好的按摩,00:01:35.220,从课程原文上下文提取，需人工补充准确定义,needs_human_review
盆底肌,L0136,又好难练到盆底肌,00:01:57.540,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0139,我們同樣配合我們的呼吸,00:00:42.750,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0141,安全的幫我們按摩,00:02:47.510,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0144,大家可以配合我们的按摩手法,00:03:33.130,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0145,和膝盖这个地方给它按摩一下,00:01:53.020,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0146,去按摩我們的這些脹氣,00:12:33.100,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0166,呼吸的時候向前收,00:12:07.610,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0167,"呼吸收,放在你的小骨盆",00:05:34.730,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0167,以及我們的內臟進行按摩,00:06:09.930,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0168,那通过我们的呼吸练习,00:00:54.260,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0168,它就像是在跟你的内脏做按摩一样的,00:03:07.300,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0169,我們今天來學會如何正確的呼吸,00:00:04.000,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0170,呼吸內股下沉內收,00:00:52.350,从课程原文上下文提取，需人工补充准确定义,needs_human_review
按摩,L0171,透过我们脊压皮很好的按摩,00:01:35.110,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0172,它們呼吸回來的時候呢,00:06:33.060,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0173,呼吸也不要滑就小中间收缩,00:00:19.260,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0175,前面學習過的散紅呼吸的方法,00:02:12.610,从课程原文上下文提取，需人工补充准确定义,needs_human_review
呼吸,L0176,"呼吸收紧,吸气放松",00:00:18.280,从课程原文上下文提取，需人工补充准确定义,needs_human_review
