lesson_id,source_path,file_name,extension,file_type,duration,duration_seconds,size_bytes,size_mb,last_write_time,has_transcript,transcript_source,process_status,notes,audio_codec,video_codec,width,height
L0052,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\一荷花摇摆(柔)-动作示范2.mp4,一荷花摇摆(柔)-动作示范2.mp4,.mp4,video,00:12:10.337,730.337,1100703040,1049.71,2025-11-24 20:04:18,false,,pending_asr,,aac,h264,1080,1920
L0053,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\一荷花摇摆(柔)-动作讲解1.mp4,一荷花摇摆(柔)-动作讲解1.mp4,.mp4,video,00:04:26.300,266.3,394283299,376.02,2025-11-24 19:29:39,false,,pending_asr,,aac,h264,1080,1920
L0054,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\一荷花摇摆(柔)-动作跟练3.mp4,一荷花摇摆(柔)-动作跟练3.mp4,.mp4,video,00:11:04.021,664.021,996009061,949.87,2025-11-24 19:37:41,false,,pending_asr,,aac,h264,1080,1920
L0055,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\七、串烧-进度条版.mp4,七、串烧-进度条版.mp4,.mp4,video,00:37:19.100,2239.1,3386141957,3229.28,2025-11-24 18:56:56,false,,pending_asr,,aac,h264,1080,1920
L0056,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\三、性感猫式-进度条版.mp4,三、性感猫式-进度条版.mp4,.mp4,video,00:18:34.100,1114.1,1678350474,1600.6,2025-11-24 19:37:47,false,,pending_asr,,aac,h264,1080,1920
L0057,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\三性感猫式(魅)-动作示范2.mp4,三性感猫式(魅)-动作示范2.mp4,.mp4,video,00:08:07.782,487.782,731308991,697.43,2025-11-24 18:52:49,false,,pending_asr,,aac,h264,1080,1920
L0058,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\三性感猫式(魅)-动作讲解1.mp4,三性感猫式(魅)-动作讲解1.mp4,.mp4,video,00:04:01.800,241.8,359513782,342.86,2025-11-24 19:01:51,false,,pending_asr,,aac,h264,1080,1920
L0059,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\三性感猫式(魅)-动作跟练3.mp4,三性感猫式(魅)-动作跟练3.mp4,.mp4,video,00:06:35.300,395.3,593132448,565.66,2025-11-24 19:04:14,false,,pending_asr,,aac,h264,1080,1920
L0060,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\二、蝴蝶开合-进度条版.mp4,二、蝴蝶开合-进度条版.mp4,.mp4,video,00:17:20.000,1040.0,1569998633,1497.27,2025-11-24 19:55:46,false,,pending_asr,,aac,h264,1080,1920
L0061,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\二蝴蝶开合(润)-动作示范2.mp4,二蝴蝶开合(润)-动作示范2.mp4,.mp4,video,00:06:53.153,413.153,618274921,589.63,2025-11-24 19:16:09,false,,pending_asr,,aac,h264,1080,1920
L0062,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\二蝴蝶开合(润)-动作讲解1.mp4,二蝴蝶开合(润)-动作讲解1.mp4,.mp4,video,00:02:47.500,167.5,247470338,236.01,2025-11-24 19:04:34,false,,pending_asr,,aac,h264,1080,1920
L0063,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\二蝴蝶开合(润)-动作跟练3.mp4,二蝴蝶开合(润)-动作跟练3.mp4,.mp4,video,00:07:51.249,471.249,708044610,675.24,2025-11-24 19:27:45,false,,pending_asr,,aac,h264,1080,1920
L0064,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\五、蝴蝶飞-进度条版.mp4,五、蝴蝶飞-进度条版.mp4,.mp4,video,00:16:12.686,972.686,1198836013,1143.3,2025-11-24 18:37:59,false,,pending_asr,,aac,h264,1080,1920
L0065,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\五蝴蝶飞(悦)-动作示范2.mp4,五蝴蝶飞(悦)-动作示范2.mp4,.mp4,video,00:07:10.173,430.173,530616898,506.04,2025-11-24 18:08:21,false,,pending_asr,,aac,h264,1080,1920
L0066,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\五蝴蝶飞(悦)-动作讲解1.mp4,五蝴蝶飞(悦)-动作讲解1.mp4,.mp4,video,00:02:40.241,160.241,194923716,185.89,2025-11-24 18:15:49,false,,pending_asr,,aac,h264,1080,1920
L0067,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\五蝴蝶飞(悦)-动作跟练3.mp4,五蝴蝶飞(悦)-动作跟练3.mp4,.mp4,video,00:06:35.273,395.273,488754084,466.11,2025-11-24 18:17:23,false,,pending_asr,,aac,h264,1080,1920
L0068,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\六、莲花冥想-进度条版.mp4,六、莲花冥想-进度条版.mp4,.mp4,video,00:17:08.760,1028.76,1274921046,1215.86,2025-11-24 18:11:13,false,,pending_asr,,aac,h264,1080,1920
L0069,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\六莲花冥想(提)-动作示范2.mp4,六莲花冥想(提)-动作示范2.mp4,.mp4,video,00:09:06.876,546.876,677010147,645.65,2025-11-24 18:05:27,false,,pending_asr,,aac,h264,1080,1920
L0070,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\六莲花冥想(提)-动作讲解1.mp4,六莲花冥想(提)-动作讲解1.mp4,.mp4,video,00:02:51.851,171.851,208124240,198.48,2025-11-24 17:47:08,false,,pending_asr,,aac,h264,1080,1920
L0071,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\六莲花冥想(提)-动作跟练3.mp4,六莲花冥想(提)-动作跟练3.mp4,.mp4,video,00:05:22.154,322.154,397072338,378.68,2025-11-24 17:56:15,false,,pending_asr,,aac,h264,1080,1920
L0072,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\四、三维呼吸-进度条版.mp4,四、三维呼吸-进度条版.mp4,.mp4,video,00:19:57.687,1197.687,1475724005,1407.36,2025-11-24 18:49:37,false,,pending_asr,,aac,h264,1080,1920
L0073,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\四三维呼吸(紧)-动作示范2.mp4,四三维呼吸(紧)-动作示范2.mp4,.mp4,video,00:09:53.734,593.734,736111723,702.01,2025-11-24 18:39:04,false,,pending_asr,,aac,h264,1080,1920
L0074,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\四三维呼吸(紧)-动作讲解1.mp4,四三维呼吸(紧)-动作讲解1.mp4,.mp4,video,00:02:31.905,151.905,184756924,176.2,2025-11-24 18:24:16,false,,pending_asr,,aac,h264,1080,1920
L0075,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\四三维呼吸(紧)-动作跟练3.mp4,四三维呼吸(紧)-动作跟练3.mp4,.mp4,video,00:07:44.956,464.956,573472552,546.91,2025-11-24 18:48:29,false,,pending_asr,,aac,h264,1080,1920
L0076,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\综合训练.mp4,综合训练.mp4,.mp4,video,00:37:26.033,2246.033,3399363039,3241.89,2025-11-24 18:58:30,false,,pending_asr,,aac,h264,1080,1920
L0077,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第七节回春功.mp4,第七节回春功.mp4,.mp4,video,00:21:24.533,1284.533,1941418080,1851.48,2025-11-24 21:00:57,false,,pending_asr,,aac,h264,1920,1080
L0078,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第三节步步高.mp4,第三节步步高.mp4,.mp4,video,00:20:58.429,1258.429,1901602396,1813.51,2025-11-24 21:23:59,false,,pending_asr,,aac,h264,1920,1080
L0079,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第九节中脉提升.m4v,第九节中脉提升.m4v,.m4v,video,00:21:50.975,1310.975,1626466901,1551.12,2025-11-24 21:20:52,false,,pending_asr,,aac,h264,1920,1080
L0080,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第二节灵动八爪鱼.mp4,第二节灵动八爪鱼.mp4,.mp4,video,00:28:57.131,1737.131,2626421044,2504.75,2025-11-24 21:10:44,false,,pending_asr,,aac,h264,1920,1080
L0081,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第五节敦煌式.mp4,第五节敦煌式.mp4,.mp4,video,00:21:50.999,1310.999,1981789444,1889.98,2025-11-24 21:35:58,false,,pending_asr,,aac,h264,1920,1080
L0082,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第八节筋膜松解术.m4v,第八节筋膜松解术.m4v,.m4v,video,00:23:54.970,1434.97,1789108806,1706.23,2025-11-24 20:52:17,false,,pending_asr,,aac,h264,1920,1080
L0083,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第六节膨出脱垂强化训练.mp4,第六节膨出脱垂强化训练.mp4,.mp4,video,00:27:13.033,1633.033,2470170388,2355.74,2025-11-24 20:53:38,false,,pending_asr,,aac,h264,1920,1080
L0084,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第十一节乾坤摆动429.mp4,第十一节乾坤摆动429.mp4,.mp4,video,00:16:03.001,963.001,1191022455,1135.85,2025-11-24 20:22:23,false,,pending_asr,,aac,h264,1920,1080
L0085,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第十三节阴道螺旋术.m4v,第十三节阴道螺旋术.m4v,.m4v,video,00:23:33.840,1413.84,1744328090,1663.52,2025-11-24 20:35:51,false,,pending_asr,,aac,h264,1920,1080
L0086,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第十二节小周天运球.m4v,第十二节小周天运球.m4v,.m4v,video,00:15:36.834,936.834,1153808758,1100.36,2025-11-24 20:12:04,false,,pending_asr,,aac,h264,1920,1080
L0087,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第十四至第二十一节在腾讯会议直播学习.mp4,第十四至第二十一节在腾讯会议直播学习.mp4,.mp4,video,00:00:05.000,5.0,285256,0.27,2025-11-24 20:52:21,false,,pending_asr,,aac,h264,1920,1080
L0088,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第十节盆腔吐纳.mp4,第十节盆腔吐纳.mp4,.mp4,video,00:21:16.542,1276.542,1574419598,1501.48,2025-11-24 21:02:18,false,,pending_asr,,aac,h264,1920,1080
L0089,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第四节蝴蝶飞.mp4,第四节蝴蝶飞.mp4,.mp4,video,00:22:06.400,1326.4,2006617931,1913.66,2025-11-24 20:26:15,false,,pending_asr,,aac,h264,1920,1080
L0090,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\先导课程.mp4,先导课程.mp4,.mp4,video,00:05:40.500,340.5,513597006,489.8,2025-09-02 14:48:11,false,,pending_asr,,aac,h264,1920,1080
L0091,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\先导课程.mp4,先导课程.mp4,.mp4,video,00:05:40.500,340.5,513597006,489.8,2025-09-02 14:48:11,false,,pending_asr,,aac,h264,1920,1080
L0092,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第一节课：荷花摇摆盆腔循环练习.mp4,第一节课：荷花摇摆盆腔循环练习.mp4,.mp4,video,00:26:12.267,1572.267,947440119,903.55,2025-09-02 16:35:23,false,,pending_asr,,aac,h264,1920,1080
L0093,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第七节课：单侧收胯骨盆闭合.mp4,第七节课：单侧收胯骨盆闭合.mp4,.mp4,video,00:17:50.267,1070.267,906980698,864.96,2025-09-03 12:26:50,false,,pending_asr,,aac,h264,1920,1080
L0094,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第三节课：蝴蝶开合闭合练习.mp4,第三节课：蝴蝶开合闭合练习.mp4,.mp4,video,00:18:15.767,1095.767,574153811,547.56,2025-09-03 10:22:52,false,,pending_asr,,aac,h264,1920,1080
L0095,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第二节课：三维呼吸脏腑练习.mp4,第二节课：三维呼吸脏腑练习.mp4,.mp4,video,00:30:36.800,1836.8,1558507580,1486.31,2025-09-03 15:44:09,false,,pending_asr,,aac,h264,1920,1080
L0096,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第五节课：古法提肛握力练习.mp4,第五节课：古法提肛握力练习.mp4,.mp4,video,00:10:35.167,635.167,773803339,737.96,2025-09-03 16:12:41,false,,pending_asr,,aac,h264,1920,1080
L0097,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第六节课：静态臀桥耐力训练.mp4,第六节课：静态臀桥耐力训练.mp4,.mp4,video,00:13:43.900,823.9,697852982,665.52,2025-09-03 12:24:11,false,,pending_asr,,aac,h264,1920,1080
L0098,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第四节课：桥式盆底肌收紧练习.mp4,第四节课：桥式盆底肌收紧练习.mp4,.mp4,video,00:14:13.967,853.967,723164429,689.66,2025-09-03 10:24:59,false,,pending_asr,,aac,h264,1920,1080
L0099,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\跟练纯净版.mp4,跟练纯净版.mp4,.mp4,video,00:48:51.233,2931.233,1356668739,1293.82,2025-09-03 16:04:12,false,,pending_asr,,aac,h264,1920,1080
