session_id,semantic_event_id,start_ms,end_ms,observed_action,facial_expression,gaze_target,body_posture,hand_gesture,courseware_interaction,action_observation_status,action_confidence,speaking_rate_chars_per_sec,pause_before_ms,pause_after_ms,prosody_label,volume_change,prosody_status,evidence_ref,completion_status
latest_live_01,latest_live_01-SEM0011-000000344900,344900,367370,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,7.07,288,320,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0012-000000367650,367650,395390,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.38,315,325,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0013-000000395710,395710,412430,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,5.89,376,384,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0014-000000412790,412790,424470,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.12,530,460,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0015-000000424550,424550,446320,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.01,202.5,342.5,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0016-000000446960,446960,466960,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,7.04,390,250,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0017-000000467400,467400,489040,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.58,270,262.5,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0018-000000489450,489450,504370,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.83,222.5,130,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0019-000000504410,504410,526030,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.46,170,190,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0020-000000526150,526150,543390,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.27,220,260,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0021-000000543670,543670,566670,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,7.34,270,240,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0022-000000566830,566830,592320,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.5,370,420,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0023-000000592680,592680,622000,speaking and gesturing,engaged and smiling,camera,standing,using hand gestures to emphasize points,displaying yoga poses on screen,observed_by_qwen_vl_window,0.95,6.72,350,320,clear and engaging,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0003_qwen-vl-plus.json,passed
latest_live_01,latest_live_01-SEM0024-000000622240,622240,639120,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,7.5,240,200,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0025-000000639200,639200,656100,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,7.63,150,230,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0026-000000656500,656500,677140,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.59,290,250,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0027-000000677380,677380,696580,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,5.9,400,420,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0028-000000696900,696900,726810,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.09,277.5,227.5,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0029-000000726930,726930,746650,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.63,220,250,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0030-000000746890,746890,761850,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.85,370,400,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0031-000000762210,762210,768970,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,8.14,170,150,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0032-000000769250,769250,792930,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.46,310,280,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0033-000000793090,793090,812600,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.91,297.5,287.5,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0034-000000812960,812960,820800,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,7.0,180,170,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0035-000000821120,821120,842650,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.84,332.9,338.6,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0036-000000843010,843010,862310,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.61,305,265,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0037-000000862510,862510,876710,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.81,260,302.5,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0038-000000877080,877080,896680,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.04,302.5,270,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0039-000000896920,896920,922540,speaking and gesturing,engaged,camera,standing,"pointing, open palm, thumbs up",none,observed_by_qwen_vl_window,0.95,6.32,340,484,clear_and_enthusiastic,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0004_qwen-vl-plus.json,passed
latest_live_01,latest_live_01-SEM0040-000000923500,923500,933670,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.87,452.5,262.5,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0041-000000933870,933870,964350,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.08,312,344,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0042-000000964710,964710,993280,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,5.16,786,880,steady_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0043-000001021240,1021240,1091360,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,2.15,1003.3,826.7,steady_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0044-000001092560,1092560,1179130,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,2.77,1010,832,steady_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0045-000001179440,1179440,1214080,hand gesture and body movement,smiling,camera,standing,pointing and gesturing with right hand,showing a circular diagram on the left side of the screen,observed_by_qwen_vl_window,0.95,4.44,317.5,340,engaging,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0005_qwen-vl-plus.json,passed
latest_live_01,latest_live_01-SEM0046-000001214480,1214480,1231550,hand gesture and body movement,smiling,camera,standing,pointing and gesturing with right hand,showing a circular diagram on the left side of the screen,observed_by_qwen_vl_window,0.95,6.08,390,366,engaging,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0005_qwen-vl-plus.json,passed
latest_live_01,latest_live_01-SEM0047-000001231830,1231830,1258020,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,5.64,297.5,377.5,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0048-000001258620,1258620,1274060,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,5.72,510,490,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0049-000001274580,1274580,1292320,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,7.18,335,245,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0050-000001292480,1292480,1311320,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,5.72,260,360,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0051-000001311880,1311880,1327880,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.27,328,280,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0052-000001328200,1328200,1362370,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.22,220,150,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0053-000001362410,1362410,1377960,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,5.94,250,320,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0054-000001378280,1378280,1391120,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,7.17,310,260,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0055-000001391240,1391240,1410070,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,5.8,334,334,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0056-000001410190,1410190,1427900,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,5.92,422,526,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0057-000001428540,1428540,1437620,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,7.53,590,530,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0058-000001438020,1438020,1463540,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,5.96,360,328,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0059-000001463780,1463780,1483700,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.94,300,320,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0060-000001484020,1484020,1501880,speaking and gesturing,engaged,camera,standing,"pointing, raising hand",none,observed_by_qwen_vl_window,0.98,6.37,415,355,clear_and_enunciated,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0006_qwen-vl-plus.json,passed
latest_live_01,latest_live_01-SEM0061-000001501960,1501960,1511280,speaking and gesturing,engaged,camera,standing,"pointing, raising hand",none,observed_by_qwen_vl_window,0.98,8.73,180,260,clear_and_enunciated,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0006_qwen-vl-plus.json,passed
latest_live_01,latest_live_01-SEM0062-000001511680,1511680,1536880,speaking and gesturing,engaged,camera,standing,"pointing, raising hand",none,observed_by_qwen_vl_window,0.98,7.13,348.6,325.7,clear_and_enunciated,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0006_qwen-vl-plus.json,passed
latest_live_01,latest_live_01-SEM0063-000001537120,1537120,1550720,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,9.2,270,300,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0064-000001551080,1551080,1580800,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.88,330,522.5,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0065-000001581930,1581930,1606690,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.56,442.5,240,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0066-000001607530,1607530,1631090,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.56,290,310,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0067-000001631490,1631490,1653030,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.62,445,415,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0068-000001653310,1653310,1672060,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.3,517.5,537.5,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0069-000001672420,1672420,1707650,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.34,445,458.3,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0070-000001708090,1708090,1719010,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.6,250,230,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0071-000001719370,1719370,1733420,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.01,282.5,232.5,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0072-000001733580,1733580,1741140,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,7.43,160,160,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0073-000001741300,1741300,1751900,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,7.44,180,265,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0074-000001752400,1752400,1771520,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.88,236,200,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0075-000001771840,1771840,1797590,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.22,300,260,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0076-000001797750,1797750,1813630,speaking and gesturing,engaged,camera,standing,pointing upwards with right hand,none,observed_by_qwen_vl_window,0.98,6.75,200,230,clear_and_concise,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0007_qwen-vl-plus.json,passed
latest_live_01,latest_live_01-SEM0077-000001813910,1813910,1839980,speaking and gesturing,engaged,camera,standing,pointing upwards with right hand,none,observed_by_qwen_vl_window,0.98,6.09,390,414,clear_and_concise,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/api_raw/latest_live_01_vision_0007_qwen-vl-plus.json,passed
latest_live_01,latest_live_01-SEM0078-000001840380,1840380,1864140,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,5.95,280,200,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0079-000001864220,1864220,1885530,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.8,230,390,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0080-000001886250,1886250,1901970,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,7.04,320,236,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0081-000001902270,1902270,1925430,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.97,268,216,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
latest_live_01,latest_live_01-SEM0082-000001925470,1925470,1938190,not_observable,not_observable,not_observable,not_observable,not_observable,not_observable,source_limited_unknown,0,6.38,220,310,fast_derived_from_asr_timestamps,not_measured_source_limit,derived_from_asr_timestamps_volume_not_measured,no_qwen_vl_window_overlaps_or_near_event,blocked_source_limit
