priority_rank,priority_score,session_id,review_item_id,related_event_id,related_comment_id,start_ms,timecode,risk_type,review_reason,evidence_refs,current_ai_status,suggested_review_action,completion_status
11,86,latest_live_01,MR-AUDIO-latest_live_01-A000384,latest_live_01-A000384,,1964930,00:32:44,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
12,86,latest_live_01,MR-AUDIO-latest_live_01-A000447,latest_live_01-A000447,,2304880,00:38:24,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
13,86,latest_live_01,MR-AUDIO-latest_live_01-A000617,latest_live_01-A000617,,3125960,00:52:05,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
14,86,latest_live_01,MR-AUDIO-latest_live_01-A000649,latest_live_01-A000649,,3311030,00:55:11,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
15,86,latest_live_01,MR-AUDIO-latest_live_01-A000839,latest_live_01-A000839,,4457050,01:14:17,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
16,86,latest_live_01,MR-AUDIO-latest_live_01-A000853,latest_live_01-A000853,,4536330,01:15:36,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
17,86,latest_live_01,MR-AUDIO-latest_live_01-A000954,latest_live_01-A000954,,5077780,01:24:37,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
18,86,latest_live_01,MR-AUDIO-latest_live_01-A000962,latest_live_01-A000962,,5174730,01:26:14,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
19,86,latest_live_01,MR-AUDIO-latest_live_01-A001073,latest_live_01-A001073,,5762850,01:36:02,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_01/asr_raw/latest_live_01_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
20,86,latest_live_02,MR-AUDIO-latest_live_02-A000010,latest_live_02-A000010,,49200,00:00:49,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/asr_raw/latest_live_02_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
21,86,latest_live_02,MR-AUDIO-latest_live_02-A000011,latest_live_02-A000011,,53400,00:00:53,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/asr_raw/latest_live_02_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
22,86,latest_live_02,MR-AUDIO-latest_live_02-A000015,latest_live_02-A000015,,70520,00:01:10,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/asr_raw/latest_live_02_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
23,86,latest_live_02,MR-AUDIO-latest_live_02-A000020,latest_live_02-A000020,,102520,00:01:42,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/asr_raw/latest_live_02_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
24,86,latest_live_02,MR-AUDIO-latest_live_02-A000027,latest_live_02-A000027,,135380,00:02:15,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/asr_raw/latest_live_02_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
25,86,latest_live_02,MR-AUDIO-latest_live_02-A000041,latest_live_02-A000041,,233420,00:03:53,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/asr_raw/latest_live_02_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
26,86,latest_live_02,MR-AUDIO-latest_live_02-A000138,latest_live_02-A000138,,848720,00:14:08,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/asr_raw/latest_live_02_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
27,86,latest_live_02,MR-AUDIO-latest_live_02-A000143,latest_live_02-A000143,,960870,00:16:00,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/asr_raw/latest_live_02_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
28,86,latest_live_02,MR-AUDIO-latest_live_02-A000248,latest_live_02-A000248,,1448640,00:24:08,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/asr_raw/latest_live_02_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
29,86,latest_live_02,MR-AUDIO-latest_live_02-A000342,latest_live_02-A000342,,2005310,00:33:25,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/asr_raw/latest_live_02_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
30,86,latest_live_02,MR-AUDIO-latest_live_02-A000377,latest_live_02-A000377,,2256120,00:37:36,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/asr_raw/latest_live_02_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
31,86,latest_live_02,MR-AUDIO-latest_live_02-A000528,latest_live_02-A000528,,3171500,00:52:51,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/asr_raw/latest_live_02_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
32,86,latest_live_02,MR-AUDIO-latest_live_02-A000529,latest_live_02-A000529,,3178700,00:52:58,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/asr_raw/latest_live_02_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
33,86,latest_live_02,MR-AUDIO-latest_live_02-A000987,latest_live_02-A000987,,5729900,01:35:29,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_02/asr_raw/latest_live_02_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
34,86,latest_live_03,MR-AUDIO-latest_live_03-A000031,latest_live_03-A000031,,155630,00:02:35,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
35,86,latest_live_03,MR-AUDIO-latest_live_03-A000033,latest_live_03-A000033,,158750,00:02:38,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
36,86,latest_live_03,MR-AUDIO-latest_live_03-A000059,latest_live_03-A000059,,347060,00:05:47,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
37,86,latest_live_03,MR-AUDIO-latest_live_03-A000080,latest_live_03-A000080,,445310,00:07:25,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
38,86,latest_live_03,MR-AUDIO-latest_live_03-A000191,latest_live_03-A000191,,941840,00:15:41,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
39,86,latest_live_03,MR-AUDIO-latest_live_03-A000227,latest_live_03-A000227,,1108770,00:18:28,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
40,86,latest_live_03,MR-AUDIO-latest_live_03-A000259,latest_live_03-A000259,,1262390,00:21:02,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
41,86,latest_live_03,MR-AUDIO-latest_live_03-A000278,latest_live_03-A000278,,1401920,00:23:21,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
42,86,latest_live_03,MR-AUDIO-latest_live_03-A000296,latest_live_03-A000296,,1469680,00:24:29,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
43,86,latest_live_03,MR-AUDIO-latest_live_03-A000297,latest_live_03-A000297,,1472360,00:24:32,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
44,86,latest_live_03,MR-AUDIO-latest_live_03-A000298,latest_live_03-A000298,,1474760,00:24:34,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
45,86,latest_live_03,MR-AUDIO-latest_live_03-A000299,latest_live_03-A000299,,1477360,00:24:37,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
46,86,latest_live_03,MR-AUDIO-latest_live_03-A000301,latest_live_03-A000301,,1482320,00:24:42,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
47,86,latest_live_03,MR-AUDIO-latest_live_03-A000313,latest_live_03-A000313,,1568640,00:26:08,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
48,86,latest_live_03,MR-AUDIO-latest_live_03-A000314,latest_live_03-A000314,,1572240,00:26:12,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
49,86,latest_live_03,MR-AUDIO-latest_live_03-A000319,latest_live_03-A000319,,1587480,00:26:27,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
50,86,latest_live_03,MR-AUDIO-latest_live_03-A000333,latest_live_03-A000333,,1635940,00:27:15,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
51,86,latest_live_03,MR-AUDIO-latest_live_03-A000456,latest_live_03-A000456,,2306120,00:38:26,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
52,86,latest_live_03,MR-AUDIO-latest_live_03-A000475,latest_live_03-A000475,,2379250,00:39:39,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
53,86,latest_live_03,MR-AUDIO-latest_live_03-A000492,latest_live_03-A000492,,2444630,00:40:44,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_03/asr_raw/latest_live_03_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
54,86,latest_live_04,MR-AUDIO-latest_live_04-A000036,latest_live_04-A000036,,180820,00:03:00,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_04/asr_raw/latest_live_04_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
55,86,latest_live_04,MR-AUDIO-latest_live_04-A000037,latest_live_04-A000037,,182340,00:03:02,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_04/asr_raw/latest_live_04_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
56,86,latest_live_04,MR-AUDIO-latest_live_04-A000051,latest_live_04-A000051,,235370,00:03:55,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_04/asr_raw/latest_live_04_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
57,86,latest_live_04,MR-AUDIO-latest_live_04-A000053,latest_live_04-A000053,,263490,00:04:23,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_04/asr_raw/latest_live_04_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
58,86,latest_live_04,MR-AUDIO-latest_live_04-A000136,latest_live_04-A000136,,861760,00:14:21,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_04/asr_raw/latest_live_04_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
59,86,latest_live_04,MR-AUDIO-latest_live_04-A000234,latest_live_04-A000234,,1372040,00:22:52,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_04/asr_raw/latest_live_04_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
60,86,latest_live_04,MR-AUDIO-latest_live_04-A000274,latest_live_04-A000274,,1570170,00:26:10,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_04/asr_raw/latest_live_04_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
61,86,latest_live_05,MR-AUDIO-latest_live_05-A000073,latest_live_05-A000073,,464060,00:07:44,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_05/asr_raw/latest_live_05_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
62,86,latest_live_05,MR-AUDIO-latest_live_05-A000087,latest_live_05-A000087,,539330,00:08:59,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_05/asr_raw/latest_live_05_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
63,86,latest_live_05,MR-AUDIO-latest_live_05-A000088,latest_live_05-A000088,,543840,00:09:03,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_05/asr_raw/latest_live_05_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
64,86,latest_live_05,MR-AUDIO-latest_live_05-A000091,latest_live_05-A000091,,608720,00:10:08,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_05/asr_raw/latest_live_05_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
65,86,latest_live_05,MR-AUDIO-latest_live_05-A000101,latest_live_05-A000101,,734540,00:12:14,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_05/asr_raw/latest_live_05_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
66,86,latest_live_05,MR-AUDIO-latest_live_05-A000254,latest_live_05-A000254,,1467870,00:24:27,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_05/asr_raw/latest_live_05_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
67,86,latest_live_05,MR-AUDIO-latest_live_05-A000257,latest_live_05-A000257,,1478630,00:24:38,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_05/asr_raw/latest_live_05_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
68,86,latest_live_06,MR-AUDIO-latest_live_06-A000034,latest_live_06-A000034,,173880,00:02:53,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_06/asr_raw/latest_live_06_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
69,86,latest_live_06,MR-AUDIO-latest_live_06-A000035,latest_live_06-A000035,,174960,00:02:54,audio_source_or_asr_quality,ASR segment classified as low_confidence_speech / low_asr_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_06/asr_raw/latest_live_06_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
70,86,latest_live_06,MR-AUDIO-latest_live_06-A000045,latest_live_06-A000045,,221720,00:03:41,audio_source_or_asr_quality,ASR segment classified as unknown_audio / unstable_word_confidence,_local_runtime/最新直播全量解析_latest_live_full_analysis/full_20260723_155512/latest_live_06/asr_raw/latest_live_06_asr_result.json,partial,回看该时间码音频，确认是否为主播可用话语；非主播不得进入课程/规则生成。,partial
