lesson_id,file_name,file_type,duration,source_path,status,segments,elapsed_seconds,error
L0014,C8345.MP4,video,00:10:24.000,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8345.MP4,completed,286,23.874,
L0015,C8346.MP4,video,00:10:18.240,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8346.MP4,completed,302,23.035,
L0016,C9260.MP4,video,00:08:35.040,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9260.MP4,completed,320,20.222,
L0017,C9261.MP4,video,00:06:26.880,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9261.MP4,completed,171,16.207,
L0018,C9262.MP4,video,00:03:51.840,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9262.MP4,completed,90,10.311,
L0019,C9263.MP4,video,00:08:27.840,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9263.MP4,completed,218,19.448,
L0020,C9264.MP4,video,00:09:50.880,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9264.MP4,completed,253,19.506,
L0021,C9265.MP4,video,00:04:14.880,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9265.MP4,completed,136,11.624,
L0022,C9266.MP4,video,00:10:23.520,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9266.MP4,completed,285,23.248,
L0023,C9267.MP4,video,00:10:18.240,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9267.MP4,completed,195,23.458,
L0024,C0257.MP4,video,00:02:50.170,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0257.MP4,completed,75,7.64,
L0025,C0258.MP4,video,00:23:53.435,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0258.MP4,completed,410,40.053,
L0026,C0259.MP4,video,00:13:06.290,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0259.MP4,completed,178,21.928,
L0027,C0260.MP4,video,00:09:03.545,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0260.MP4,completed,153,15.498,
L0028,C0261.MP4,video,00:06:41.405,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0261.MP4,completed,57,10.896,
L0029,C0262.MP4,video,00:01:31.095,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0262.MP4,completed,26,4.653,
L0030,C0263.MP4,video,00:00:05.005,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0263.MP4,completed,1,2.793,
L0031,C0264.MP4,video,00:09:40.580,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0264.MP4,completed,154,16.109,
L0032,C0265.MP4,video,00:00:17.020,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0265.MP4,completed,9,2.617,
L0033,C0266.MP4,video,00:00:13.015,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0266.MP4,completed,3,2.682,
L0034,C9679.MP4,video,00:02:51.171,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9679.MP4,completed,41,6.694,
L0035,C9680.MP4,video,00:23:53.932,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9680.MP4,completed,386,46.477,
L0036,C9681.MP4,video,00:13:06.285,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9681.MP4,completed,128,20.201,
L0037,C9682.MP4,video,00:09:03.543,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9682.MP4,completed,1,11.395,
L0038,C9683.MP4,video,00:06:41.401,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9683.MP4,completed,1,9.236,
L0039,C9684.MP4,video,00:01:38.599,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9684.MP4,completed,17,4.645,
L0040,C9685.MP4,video,00:09:40.580,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9685.MP4,completed,9,12.131,
L0041,第一课女性常见花园问题.mp4,video,00:14:52.033,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第一课女性常见花园问题.mp4,completed,549,31.239,
L0042,第七课揭秘爱情肌肉垂吊转圈的方法.mp4,video,00:10:10.337,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第七课揭秘爱情肌肉垂吊转圈的方法.mp4,completed,349,17.186,
L0043,第三课花园护理六大雷区.mp4,video,00:06:46.500,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第三课花园护理六大雷区.mp4,completed,222,17.084,
L0044,第九课如何跳好爱情双人舞.mp4,video,00:09:48.348,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第九课如何跳好爱情双人舞.mp4,completed,337,15.297,
L0045,第二课花园九型及配型.mp4,video,00:10:34.000,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第二课花园九型及配型.mp4,completed,322,22.318,
L0046,第五课舞动爱情肌.mp4,video,00:22:30.933,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第五课舞动爱情肌.mp4,completed,853,43.514,
L0047,第八课双人舞跳不好的原因.mp4,video,00:10:07.853,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第八课双人舞跳不好的原因.mp4,completed,365,17.227,
L0048,第六课如何让爱情肌紧致如初.mp4,video,00:03:29.583,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第六课如何让爱情肌紧致如初.mp4,completed,117,7.872,
L0049,第十课好体位让你快乐双人舞.mp4,video,00:09:47.234,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第十课好体位让你快乐双人舞.mp4,completed,346,15.824,
L0050,第四课如何做花园SPA.mp4,video,00:08:23.700,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第四课如何做花园SPA.mp4,completed,208,18.59,
L0051,一、荷花摇摆-进度条版.mp4,video,00:27:26.600,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\一、荷花摇摆-进度条版.mp4,completed,908,44.154,
L0052,一荷花摇摆(柔)-动作示范2.mp4,video,00:12:10.337,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\一荷花摇摆(柔)-动作示范2.mp4,completed,317,18.945,
L0053,一荷花摇摆(柔)-动作讲解1.mp4,video,00:04:26.300,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\一荷花摇摆(柔)-动作讲解1.mp4,completed,130,9.759,
L0054,一荷花摇摆(柔)-动作跟练3.mp4,video,00:11:04.021,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\一荷花摇摆(柔)-动作跟练3.mp4,completed,364,17.929,
L0055,七、串烧-进度条版.mp4,video,00:37:19.100,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\七、串烧-进度条版.mp4,completed,944,75.785,
L0056,三、性感猫式-进度条版.mp4,video,00:18:34.100,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\三、性感猫式-进度条版.mp4,completed,621,27.881,
L0057,三性感猫式(魅)-动作示范2.mp4,video,00:08:07.782,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\三性感猫式(魅)-动作示范2.mp4,completed,265,13.914,
L0058,三性感猫式(魅)-动作讲解1.mp4,video,00:04:01.800,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\三性感猫式(魅)-动作讲解1.mp4,completed,117,10.815,
L0059,三性感猫式(魅)-动作跟练3.mp4,video,00:06:35.300,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\三性感猫式(魅)-动作跟练3.mp4,completed,94,11.503,
L0060,二、蝴蝶开合-进度条版.mp4,video,00:17:20.000,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\二、蝴蝶开合-进度条版.mp4,completed,513,30.917,
L0061,二蝴蝶开合(润)-动作示范2.mp4,video,00:06:53.153,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\二蝴蝶开合(润)-动作示范2.mp4,completed,179,12.446,
L0062,二蝴蝶开合(润)-动作讲解1.mp4,video,00:02:47.500,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\二蝴蝶开合(润)-动作讲解1.mp4,completed,77,8.153,
L0063,二蝴蝶开合(润)-动作跟练3.mp4,video,00:07:51.249,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\二蝴蝶开合(润)-动作跟练3.mp4,completed,123,13.655,
L0064,五、蝴蝶飞-进度条版.mp4,video,00:16:12.686,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\五、蝴蝶飞-进度条版.mp4,completed,481,61.892,
L0065,五蝴蝶飞(悦)-动作示范2.mp4,video,00:07:10.173,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\五蝴蝶飞(悦)-动作示范2.mp4,completed,229,11.737,
L0066,五蝴蝶飞(悦)-动作讲解1.mp4,video,00:02:40.241,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\五蝴蝶飞(悦)-动作讲解1.mp4,completed,95,8.671,
L0067,五蝴蝶飞(悦)-动作跟练3.mp4,video,00:06:35.273,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\五蝴蝶飞(悦)-动作跟练3.mp4,completed,150,24.152,
L0068,六、莲花冥想-进度条版.mp4,video,00:17:08.760,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\六、莲花冥想-进度条版.mp4,completed,557,36.128,
L0069,六莲花冥想(提)-动作示范2.mp4,video,00:09:06.876,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\六莲花冥想(提)-动作示范2.mp4,completed,267,19.725,
L0070,六莲花冥想(提)-动作讲解1.mp4,video,00:02:51.851,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\六莲花冥想(提)-动作讲解1.mp4,completed,115,7.444,
L0071,六莲花冥想(提)-动作跟练3.mp4,video,00:05:22.154,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\六莲花冥想(提)-动作跟练3.mp4,completed,152,7.735,
L0072,四、三维呼吸-进度条版.mp4,video,00:19:57.687,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\四、三维呼吸-进度条版.mp4,completed,520,36.872,
L0073,四三维呼吸(紧)-动作示范2.mp4,video,00:09:53.734,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\四三维呼吸(紧)-动作示范2.mp4,completed,279,21.327,
L0074,四三维呼吸(紧)-动作讲解1.mp4,video,00:02:31.905,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\四三维呼吸(紧)-动作讲解1.mp4,completed,99,8.166,
L0075,四三维呼吸(紧)-动作跟练3.mp4,video,00:07:44.956,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\四三维呼吸(紧)-动作跟练3.mp4,completed,248,16.268,
L0076,综合训练.mp4,video,00:37:26.033,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\综合训练.mp4,completed,925,84.866,
L0077,第七节回春功.mp4,video,00:21:24.533,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第七节回春功.mp4,completed,772,34.105,
L0078,第三节步步高.mp4,video,00:20:58.429,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第三节步步高.mp4,completed,828,45.83,
L0079,第九节中脉提升.m4v,video,00:21:50.975,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第九节中脉提升.m4v,completed,607,41.958,
L0080,第二节灵动八爪鱼.mp4,video,00:28:57.131,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第二节灵动八爪鱼.mp4,completed,852,39.01,
L0081,第五节敦煌式.mp4,video,00:21:50.999,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第五节敦煌式.mp4,completed,858,56.288,
L0082,第八节筋膜松解术.m4v,video,00:23:54.970,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第八节筋膜松解术.m4v,completed,625,47.272,
L0083,第六节膨出脱垂强化训练.mp4,video,00:27:13.033,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第六节膨出脱垂强化训练.mp4,completed,1002,48.349,
L0084,第十一节乾坤摆动429.mp4,video,00:16:03.001,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第十一节乾坤摆动429.mp4,completed,430,29.122,
L0085,第十三节阴道螺旋术.m4v,video,00:23:33.840,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第十三节阴道螺旋术.m4v,completed,951,49.753,
L0086,第十二节小周天运球.m4v,video,00:15:36.834,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第十二节小周天运球.m4v,completed,379,19.409,
L0087,第十四至第二十一节在腾讯会议直播学习.mp4,video,00:00:05.000,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第十四至第二十一节在腾讯会议直播学习.mp4,completed,1,0.107,
L0088,第十节盆腔吐纳.mp4,video,00:21:16.542,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第十节盆腔吐纳.mp4,completed,618,28.342,
L0089,第四节蝴蝶飞.mp4,video,00:22:06.400,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第四节蝴蝶飞.mp4,completed,668,40.33,
L0090,先导课程.mp4,video,00:05:40.500,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\先导课程.mp4,completed,182,12.861,
L0091,先导课程.mp4,video,00:05:40.500,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\先导课程.mp4,completed_reused,182,0,
L0092,第一节课：荷花摇摆盆腔循环练习.mp4,video,00:26:12.267,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第一节课：荷花摇摆盆腔循环练习.mp4,completed,692,41.46,
L0093,第七节课：单侧收胯骨盆闭合.mp4,video,00:17:50.267,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第七节课：单侧收胯骨盆闭合.mp4,completed,565,23.328,
L0094,第三节课：蝴蝶开合闭合练习.mp4,video,00:18:15.767,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第三节课：蝴蝶开合闭合练习.mp4,completed,457,30.556,
L0095,第二节课：三维呼吸脏腑练习.mp4,video,00:30:36.800,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第二节课：三维呼吸脏腑练习.mp4,completed,783,39.26,
L0096,第五节课：古法提肛握力练习.mp4,video,00:10:35.167,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第五节课：古法提肛握力练习.mp4,completed,299,14.371,
L0097,第六节课：静态臀桥耐力训练.mp4,video,00:13:43.900,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第六节课：静态臀桥耐力训练.mp4,completed,465,19.276,
L0098,第四节课：桥式盆底肌收紧练习.mp4,video,00:14:13.967,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第四节课：桥式盆底肌收紧练习.mp4,completed,470,30.389,
L0099,跟练纯净版.mp4,video,00:48:51.233,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\跟练纯净版.mp4,completed,1151,84.901,
L0100,第一节课：荷花摇摆盆腔循环练习.mp4,video,00:26:12.267,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\第一节课：荷花摇摆盆腔循环练习.mp4,completed,734,44.235,
L0101,第七节课：单侧收胯骨盆闭合.mp4,video,00:17:50.267,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\第七节课：单侧收胯骨盆闭合.mp4,completed,562,25.451,
L0102,第三节课：蝴蝶开合闭合练习.mp4,video,00:18:15.767,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\第三节课：蝴蝶开合闭合练习.mp4,completed,445,38.547,
L0103,第二节课：三维呼吸脏腑练习.mp4,video,00:30:36.800,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\第二节课：三维呼吸脏腑练习.mp4,completed,892,43.38,
L0104,第五节课：古法提肛握力练习.mp4,video,00:10:35.167,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\第五节课：古法提肛握力练习.mp4,completed,299,14.677,
L0105,第六节课：静态臀桥耐力训练.mp4,video,00:13:43.900,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\第六节课：静态臀桥耐力训练.mp4,completed,476,22.338,
L0106,第四节课：桥式盆底肌收紧练习.mp4,video,00:14:13.967,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\第四节课：桥式盆底肌收紧练习.mp4,completed,506,29.184,
L0107,跟练纯净版.mp4,video,00:48:51.233,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\跟练纯净版.mp4,completed,1262,86.749,
L0108,第一课-荷花摇摆_1.mp4,video,00:26:30.533,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\压缩版\第一课-荷花摇摆_1.mp4,completed,755,49.371,
L0109,第七节-单侧收胯骨盆的闭合.mp4,video,00:18:14.867,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\压缩版\第七节-单侧收胯骨盆的闭合.mp4,completed,655,26.048,
L0110,第三课-蝴蝶开合.mp4,video,00:18:25.633,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\压缩版\第三课-蝴蝶开合.mp4,completed,442,27.04,
L0111,第二课-三维呼吸.mp4,video,00:30:50.900,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\压缩版\第二课-三维呼吸.mp4,completed,815,37.115,
L0112,第五课-古法提肛.mp4,video,00:10:46.267,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\压缩版\第五课-古法提肛.mp4,completed,302,14.51,
L0113,第六课-静态臀桥.mp4,video,00:13:27.233,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\压缩版\第六课-静态臀桥.mp4,completed,498,31.016,
L0114,第四课-桥式盆底肌收紧.mp4,video,00:14:23.800,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\压缩版\第四课-桥式盆底肌收紧.mp4,completed,371,23.577,
L0115,纯净跟练版.mp4,video,00:50:21.733,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\压缩版\纯净跟练版.mp4,completed,1067,95.584,
L0116,课程介绍.mp4,video,00:05:37.467,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\压缩版\课程介绍.mp4,completed,209,12.512,
L0117,第一课-荷花摇摆.mp4,video,00:26:30.533,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\高清版\第一课-荷花摇摆.mp4,completed,754,54.863,
L0118,第七节-单侧收胯骨盆的闭合.mp4,video,00:18:14.867,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\高清版\第七节-单侧收胯骨盆的闭合.mp4,completed,483,29.354,
L0119,第三课-蝴蝶开合.mp4,video,00:18:25.633,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\高清版\第三课-蝴蝶开合.mp4,completed,427,30.16,
L0120,第二课-三维呼吸.mp4,video,00:30:50.900,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\高清版\第二课-三维呼吸.mp4,completed,790,56.653,
L0121,第五课-古法提肛.mp4,video,00:10:46.267,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\高清版\第五课-古法提肛.mp4,completed_reused,302,0,
L0122,第六课-静态臀桥.mp4,video,00:13:27.233,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\高清版\第六课-静态臀桥.mp4,completed,525,82.074,
L0123,第四课-桥式盆底肌收紧.mp4,video,00:14:23.800,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\高清版\第四课-桥式盆底肌收紧.mp4,completed,358,91.356,
L0124,纯净跟练版.mp4,video,00:50:21.733,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\高清版\纯净跟练版.mp4,completed,1361,314.074,
L0125,课程介绍.mp4,video,00:05:37.467,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\高清版\课程介绍.mp4,completed_reused,209,0,
L0126,C3277.MP4,video,00:05:47.040,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3277.MP4,completed,167,31.277,
L0127,C3279.MP4,video,00:17:17.760,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3279.MP4,completed,552,83.638,
L0128,C3280.MP4,video,00:09:23.520,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3280.MP4,completed,251,60.681,
L0129,C3281.MP4,video,00:05:33.120,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3281.MP4,completed,182,35.131,
L0130,C3282.MP4,video,00:14:02.400,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3282.MP4,completed,342,66.313,
L0131,C3283.MP4,video,00:11:42.240,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3283.MP4,completed,179,55.151,
L0132,C3284.MP4,video,00:02:38.400,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3284.MP4,completed,72,16.932,
L0133,C3285.MP4,video,00:09:12.000,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3285.MP4,completed,217,45.251,
L0134,C3286.MP4,video,00:07:26.880,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3286.MP4,completed,144,30.28,
L0135,C3288.MP4,video,00:03:31.680,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3288.MP4,completed,110,18.945,
L0136,C3289.MP4,video,00:06:12.000,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3289.MP4,completed,177,34.279,
L0137,C3290.MP4,video,00:05:13.440,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3290.MP4,completed,121,29.534,
L0138,C3291.MP4,video,00:03:07.200,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3291.MP4,completed,99,24.297,
L0139,C3292.MP4,video,00:03:08.640,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3292.MP4,completed,77,24.201,
L0140,C3293.MP4,video,00:05:20.160,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3293.MP4,completed,217,38.762,
L0141,C3295.MP4,video,00:03:24.960,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3295.MP4,completed,123,26.025,
L0142,C3296.MP4,video,00:10:46.560,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3296.MP4,completed,284,80.394,
L0143,C3297.MP4,video,00:03:39.840,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3297.MP4,completed,93,24.867,
L0144,C3298.MP4,video,00:10:01.920,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3298.MP4,completed,240,85.121,
L0145,C3299.MP4,video,00:05:14.880,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\横版主机位\CLIP\C3299.MP4,completed,213,32.164,
