lesson_id,file_type,file_name,source_path,expected_size_bytes,actual_size_bytes,expected_last_write_time,actual_last_write_time,exists,size_match,mtime_match,status,error
L0012,video,C8343.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8343.MP4,4161178348,4161178348,2025-03-06 19:33:11,2025-03-06 19:33:11,true,true,true,ok,
L0013,video,C8344.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8344.MP4,1812201268,1812201268,2025-03-06 19:39:28,2025-03-06 19:39:28,true,true,true,ok,
L0014,video,C8345.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8345.MP4,4396090916,4396090916,2025-03-06 19:50:39,2025-03-06 19:50:39,true,true,true,ok,
L0015,video,C8346.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位1\C8346.MP4,4328979052,4328979052,2025-03-06 20:02:18,2025-03-06 20:02:18,true,true,true,ok,
L0016,video,C9260.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9260.MP4,3624269120,3624269120,2025-03-06 01:09:17,2025-03-06 01:09:17,true,true,true,ok,
L0017,video,C9261.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9261.MP4,2718236028,2718236028,2025-03-06 01:17:09,2025-03-06 01:17:09,true,true,true,ok,
L0018,video,C9262.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9262.MP4,1644417212,1644417212,2025-03-06 01:21:55,2025-03-06 01:21:55,true,true,true,ok,
L0019,video,C9263.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9263.MP4,3590711236,3590711236,2025-03-06 01:35:13,2025-03-06 01:35:13,true,true,true,ok,
L0020,video,C9264.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9264.MP4,4161177756,4161177756,2025-03-06 01:47:19,2025-03-06 01:47:19,true,true,true,ok,
L0021,video,C9265.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9265.MP4,1812200916,1812200916,2025-03-06 01:53:37,2025-03-06 01:53:37,true,true,true,ok,
L0022,video,C9266.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9266.MP4,4396090432,4396090432,2025-03-06 02:04:47,2025-03-06 02:04:47,true,true,true,ok,
L0023,video,C9267.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\3月6日情趣体位课程\机位2\C9267.MP4,4362533248,4362533248,2025-03-06 02:16:28,2025-03-06 02:16:28,true,true,true,ok,
L0024,video,C0257.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0257.MP4,1208194685,1208194685,2025-02-06 07:37:48,2025-02-06 07:37:48,true,true,true,ok,
L0025,video,C0258.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0258.MP4,9966677873,9966677873,2025-02-06 08:04:39,2025-02-06 08:04:39,true,true,true,ok,
L0026,video,C0259.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0259.MP4,5469988329,5469988329,2025-02-06 08:23:05,2025-02-06 08:23:05,true,true,true,ok,
L0027,video,C0260.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0260.MP4,3792105285,3792105285,2025-02-06 08:43:07,2025-02-06 08:43:07,true,true,true,ok,
L0028,video,C0261.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0261.MP4,2818943261,2818943261,2025-02-06 08:54:33,2025-02-06 08:54:33,true,true,true,ok,
L0029,video,C0262.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0262.MP4,637722899,637722899,2025-02-06 09:02:38,2025-02-06 09:02:38,true,true,true,ok,
L0030,video,C0263.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0263.MP4,67246973,67246973,2025-02-06 09:02:50,2025-02-06 09:02:50,true,true,true,ok,
L0031,video,C0264.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0264.MP4,3993453621,3993453621,2025-02-06 09:12:33,2025-02-06 09:12:33,true,true,true,ok,
L0032,video,C0265.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0265.MP4,134362907,134362907,2025-02-06 09:15:04,2025-02-06 09:15:04,true,true,true,ok,
L0033,video,C0266.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\主机位\C0266.MP4,100806121,100806121,2025-02-06 09:15:32,2025-02-06 09:15:32,true,true,true,ok,
L0034,video,C9679.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9679.MP4,1208195427,1208195427,2022-04-07 02:43:53,2022-04-07 02:43:53,true,true,true,ok,
L0035,video,C9680.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9680.MP4,10201559347,10201559347,2022-04-07 03:10:44,2022-04-07 03:10:44,true,true,true,ok,
L0036,video,C9681.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9681.MP4,5604206199,5604206199,2022-04-07 03:29:09,2022-04-07 03:29:09,true,true,true,ok,
L0037,video,C9682.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9682.MP4,3892768723,3892768723,2022-04-07 03:49:12,2022-04-07 03:49:12,true,true,true,ok,
L0038,video,C9683.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9683.MP4,2852497835,2852497835,2022-04-07 04:00:37,2022-04-07 04:00:37,true,true,true,ok,
L0039,video,C9684.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9684.MP4,704836317,704836317,2022-04-07 04:08:49,2022-04-07 04:08:49,true,true,true,ok,
L0040,video,C9685.MP4,\\192.168.10.102\市场营销中心\品牌部\所有课程\4月17运动哑铃课包\特写机位\C9685.MP4,4127671544,4127671544,2022-04-07 04:18:37,2022-04-07 04:18:37,true,true,true,ok,
L0041,video,第一课女性常见花园问题.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第一课女性常见花园问题.mp4,1792550556,1792550556,2023-12-11 10:42:50,2023-12-11 10:42:50,true,true,true,ok,
L0042,video,第七课揭秘爱情肌肉垂吊转圈的方法.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第七课揭秘爱情肌肉垂吊转圈的方法.mp4,984449021,984449021,2023-12-11 12:10:29,2023-12-11 12:10:29,true,true,true,ok,
L0043,video,第三课花园护理六大雷区.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第三课花园护理六大雷区.mp4,808369968,808369968,2023-12-11 11:13:44,2023-12-11 11:13:44,true,true,true,ok,
L0044,video,第九课如何跳好爱情双人舞.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第九课如何跳好爱情双人舞.mp4,956281347,956281347,2023-12-11 13:42:42,2023-12-11 13:42:42,true,true,true,ok,
L0045,video,第二课花园九型及配型.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第二课花园九型及配型.mp4,1266810736,1266810736,2023-12-11 12:37:49,2023-12-11 12:37:49,true,true,true,ok,
L0046,video,第五课舞动爱情肌.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第五课舞动爱情肌.mp4,2714750853,2714750853,2023-12-11 12:11:25,2023-12-11 12:11:25,true,true,true,ok,
L0047,video,第八课双人舞跳不好的原因.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第八课双人舞跳不好的原因.mp4,987799430,987799430,2023-12-11 13:34:38,2023-12-11 13:34:38,true,true,true,ok,
L0048,video,第六课如何让爱情肌紧致如初.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第六课如何让爱情肌紧致如初.mp4,337764083,337764083,2023-12-11 12:29:36,2023-12-11 12:29:36,true,true,true,ok,
L0049,video,第十课好体位让你快乐双人舞.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第十课好体位让你快乐双人舞.mp4,952692985,952692985,2023-12-11 13:47:15,2023-12-11 13:47:15,true,true,true,ok,
L0050,video,第四课如何做花园SPA.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\19.9课程成片\第四课如何做花园SPA.mp4,1004563128,1004563128,2023-12-11 11:27:34,2023-12-11 11:27:34,true,true,true,ok,
L0051,video,一、荷花摇摆-进度条版.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\一、荷花摇摆-进度条版.mp4,2484748746,2484748746,2025-11-24 20:27:45,2025-11-24 20:27:45,true,true,true,ok,
L0052,video,一荷花摇摆(柔)-动作示范2.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\一荷花摇摆(柔)-动作示范2.mp4,1100703040,1100703040,2025-11-24 20:04:18,2025-11-24 20:04:18,true,true,true,ok,
L0053,video,一荷花摇摆(柔)-动作讲解1.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\一荷花摇摆(柔)-动作讲解1.mp4,394283299,394283299,2025-11-24 19:29:39,2025-11-24 19:29:39,true,true,true,ok,
L0054,video,一荷花摇摆(柔)-动作跟练3.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\一荷花摇摆(柔)-动作跟练3.mp4,996009061,996009061,2025-11-24 19:37:41,2025-11-24 19:37:41,true,true,true,ok,
L0055,video,七、串烧-进度条版.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\七、串烧-进度条版.mp4,3386141957,3386141957,2025-11-24 18:56:56,2025-11-24 18:56:56,true,true,true,ok,
L0056,video,三、性感猫式-进度条版.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\三、性感猫式-进度条版.mp4,1678350474,1678350474,2025-11-24 19:37:47,2025-11-24 19:37:47,true,true,true,ok,
L0057,video,三性感猫式(魅)-动作示范2.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\三性感猫式(魅)-动作示范2.mp4,731308991,731308991,2025-11-24 18:52:49,2025-11-24 18:52:49,true,true,true,ok,
L0058,video,三性感猫式(魅)-动作讲解1.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\三性感猫式(魅)-动作讲解1.mp4,359513782,359513782,2025-11-24 19:01:51,2025-11-24 19:01:51,true,true,true,ok,
L0059,video,三性感猫式(魅)-动作跟练3.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\三性感猫式(魅)-动作跟练3.mp4,593132448,593132448,2025-11-24 19:04:14,2025-11-24 19:04:14,true,true,true,ok,
L0060,video,二、蝴蝶开合-进度条版.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\二、蝴蝶开合-进度条版.mp4,1569998633,1569998633,2025-11-24 19:55:46,2025-11-24 19:55:46,true,true,true,ok,
L0061,video,二蝴蝶开合(润)-动作示范2.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\二蝴蝶开合(润)-动作示范2.mp4,618274921,618274921,2025-11-24 19:16:09,2025-11-24 19:16:09,true,true,true,ok,
L0062,video,二蝴蝶开合(润)-动作讲解1.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\二蝴蝶开合(润)-动作讲解1.mp4,247470338,247470338,2025-11-24 19:04:34,2025-11-24 19:04:34,true,true,true,ok,
L0063,video,二蝴蝶开合(润)-动作跟练3.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\二蝴蝶开合(润)-动作跟练3.mp4,708044610,708044610,2025-11-24 19:27:45,2025-11-24 19:27:45,true,true,true,ok,
L0064,video,五、蝴蝶飞-进度条版.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\五、蝴蝶飞-进度条版.mp4,1198836013,1198836013,2025-11-24 18:37:59,2025-11-24 18:37:59,true,true,true,ok,
L0065,video,五蝴蝶飞(悦)-动作示范2.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\五蝴蝶飞(悦)-动作示范2.mp4,530616898,530616898,2025-11-24 18:08:21,2025-11-24 18:08:21,true,true,true,ok,
L0066,video,五蝴蝶飞(悦)-动作讲解1.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\五蝴蝶飞(悦)-动作讲解1.mp4,194923716,194923716,2025-11-24 18:15:49,2025-11-24 18:15:49,true,true,true,ok,
L0067,video,五蝴蝶飞(悦)-动作跟练3.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\五蝴蝶飞(悦)-动作跟练3.mp4,488754084,488754084,2025-11-24 18:17:23,2025-11-24 18:17:23,true,true,true,ok,
L0068,video,六、莲花冥想-进度条版.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\六、莲花冥想-进度条版.mp4,1274921046,1274921046,2025-11-24 18:11:13,2025-11-24 18:11:13,true,true,true,ok,
L0069,video,六莲花冥想(提)-动作示范2.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\六莲花冥想(提)-动作示范2.mp4,677010147,677010147,2025-11-24 18:05:27,2025-11-24 18:05:27,true,true,true,ok,
L0070,video,六莲花冥想(提)-动作讲解1.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\六莲花冥想(提)-动作讲解1.mp4,208124240,208124240,2025-11-24 17:47:08,2025-11-24 17:47:08,true,true,true,ok,
L0071,video,六莲花冥想(提)-动作跟练3.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\六莲花冥想(提)-动作跟练3.mp4,397072338,397072338,2025-11-24 17:56:15,2025-11-24 17:56:15,true,true,true,ok,
L0072,video,四、三维呼吸-进度条版.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\四、三维呼吸-进度条版.mp4,1475724005,1475724005,2025-11-24 18:49:37,2025-11-24 18:49:37,true,true,true,ok,
L0073,video,四三维呼吸(紧)-动作示范2.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\四三维呼吸(紧)-动作示范2.mp4,736111723,736111723,2025-11-24 18:39:04,2025-11-24 18:39:04,true,true,true,ok,
L0074,video,四三维呼吸(紧)-动作讲解1.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\四三维呼吸(紧)-动作讲解1.mp4,184756924,184756924,2025-11-24 18:24:16,2025-11-24 18:24:16,true,true,true,ok,
L0075,video,四三维呼吸(紧)-动作跟练3.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\四三维呼吸(紧)-动作跟练3.mp4,573472552,573472552,2025-11-24 18:48:29,2025-11-24 18:48:29,true,true,true,ok,
L0076,video,综合训练.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年398 教程视频\综合训练.mp4,3399363039,3399363039,2025-11-24 18:58:30,2025-11-24 18:58:30,true,true,true,ok,
L0077,video,第七节回春功.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第七节回春功.mp4,1941418080,1941418080,2025-11-24 21:00:57,2025-11-24 21:00:57,true,true,true,ok,
L0078,video,第三节步步高.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第三节步步高.mp4,1901602396,1901602396,2025-11-24 21:23:59,2025-11-24 21:23:59,true,true,true,ok,
L0079,video,第九节中脉提升.m4v,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第九节中脉提升.m4v,1626466901,1626466901,2025-11-24 21:20:52,2025-11-24 21:20:52,true,true,true,ok,
L0080,video,第二节灵动八爪鱼.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第二节灵动八爪鱼.mp4,2626421044,2626421044,2025-11-24 21:10:44,2025-11-24 21:10:44,true,true,true,ok,
L0081,video,第五节敦煌式.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第五节敦煌式.mp4,1981789444,1981789444,2025-11-24 21:35:58,2025-11-24 21:35:58,true,true,true,ok,
L0082,video,第八节筋膜松解术.m4v,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第八节筋膜松解术.m4v,1789108806,1789108806,2025-11-24 20:52:17,2025-11-24 20:52:17,true,true,true,ok,
L0083,video,第六节膨出脱垂强化训练.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第六节膨出脱垂强化训练.mp4,2470170388,2470170388,2025-11-24 20:53:38,2025-11-24 20:53:38,true,true,true,ok,
L0084,video,第十一节乾坤摆动429.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第十一节乾坤摆动429.mp4,1191022455,1191022455,2025-11-24 20:22:23,2025-11-24 20:22:23,true,true,true,ok,
L0085,video,第十三节阴道螺旋术.m4v,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第十三节阴道螺旋术.m4v,1744328090,1744328090,2025-11-24 20:35:51,2025-11-24 20:35:51,true,true,true,ok,
L0086,video,第十二节小周天运球.m4v,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第十二节小周天运球.m4v,1153808758,1153808758,2025-11-24 20:12:04,2025-11-24 20:12:04,true,true,true,ok,
L0087,video,第十四至第二十一节在腾讯会议直播学习.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第十四至第二十一节在腾讯会议直播学习.mp4,285256,285256,2025-11-24 20:52:21,2025-11-24 20:52:21,true,true,true,ok,
L0088,video,第十节盆腔吐纳.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第十节盆腔吐纳.mp4,1574419598,1574419598,2025-11-24 21:02:18,2025-11-24 21:02:18,true,true,true,ok,
L0089,video,第四节蝴蝶飞.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\24年3980教程视频\第四节蝴蝶飞.mp4,2006617931,2006617931,2025-11-24 20:26:15,2025-11-24 20:26:15,true,true,true,ok,
L0090,video,先导课程.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\先导课程.mp4,513597006,513597006,2025-09-02 14:48:11,2025-09-02 14:48:11,true,true,true,ok,
L0091,video,先导课程.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\先导课程.mp4,513597006,513597006,2025-09-02 14:48:11,2025-09-02 14:48:11,true,true,true,ok,
L0092,video,第一节课：荷花摇摆盆腔循环练习.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第一节课：荷花摇摆盆腔循环练习.mp4,947440119,947440119,2025-09-02 16:35:23,2025-09-02 16:35:23,true,true,true,ok,
L0093,video,第七节课：单侧收胯骨盆闭合.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第七节课：单侧收胯骨盆闭合.mp4,906980698,906980698,2025-09-03 12:26:50,2025-09-03 12:26:50,true,true,true,ok,
L0094,video,第三节课：蝴蝶开合闭合练习.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第三节课：蝴蝶开合闭合练习.mp4,574153811,574153811,2025-09-03 10:22:52,2025-09-03 10:22:52,true,true,true,ok,
L0095,video,第二节课：三维呼吸脏腑练习.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第二节课：三维呼吸脏腑练习.mp4,1558507580,1558507580,2025-09-03 15:44:09,2025-09-03 15:44:09,true,true,true,ok,
L0096,video,第五节课：古法提肛握力练习.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第五节课：古法提肛握力练习.mp4,773803339,773803339,2025-09-03 16:12:41,2025-09-03 16:12:41,true,true,true,ok,
L0097,video,第六节课：静态臀桥耐力训练.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第六节课：静态臀桥耐力训练.mp4,697852982,697852982,2025-09-03 12:24:11,2025-09-03 12:24:11,true,true,true,ok,
L0098,video,第四节课：桥式盆底肌收紧练习.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\第四节课：桥式盆底肌收紧练习.mp4,723164429,723164429,2025-09-03 10:24:59,2025-09-03 10:24:59,true,true,true,ok,
L0099,video,跟练纯净版.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\压缩版\跟练纯净版.mp4,1356668739,1356668739,2025-09-03 16:04:12,2025-09-03 16:04:12,true,true,true,ok,
L0100,video,第一节课：荷花摇摆盆腔循环练习.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\第一节课：荷花摇摆盆腔循环练习.mp4,2383278706,2383278706,2025-09-02 15:52:49,2025-09-02 15:52:49,true,true,true,ok,
L0101,video,第七节课：单侧收胯骨盆闭合.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\第七节课：单侧收胯骨盆闭合.mp4,1618864635,1618864635,2025-09-03 11:55:29,2025-09-03 11:55:29,true,true,true,ok,
L0102,video,第三节课：蝴蝶开合闭合练习.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\第三节课：蝴蝶开合闭合练习.mp4,1658805807,1658805807,2025-09-02 17:19:46,2025-09-02 17:19:46,true,true,true,ok,
L0103,video,第二节课：三维呼吸脏腑练习.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\第二节课：三维呼吸脏腑练习.mp4,2782250542,2782250542,2025-09-03 15:26:19,2025-09-03 15:26:19,true,true,true,ok,
L0104,video,第五节课：古法提肛握力练习.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\第五节课：古法提肛握力练习.mp4,961151977,961151977,2025-09-03 16:09:05,2025-09-03 16:09:05,true,true,true,ok,
L0105,video,第六节课：静态臀桥耐力训练.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\第六节课：静态臀桥耐力训练.mp4,1245966467,1245966467,2025-09-03 11:12:43,2025-09-03 11:12:43,true,true,true,ok,
L0106,video,第四节课：桥式盆底肌收紧练习.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\第四节课：桥式盆底肌收紧练习.mp4,1292825707,1292825707,2025-09-02 18:02:57,2025-09-02 18:02:57,true,true,true,ok,
L0107,video,跟练纯净版.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\横版\跟练纯净版.mp4,4440669428,4440669428,2025-09-03 15:54:18,2025-09-03 15:54:18,true,true,true,ok,
L0108,video,第一课-荷花摇摆_1.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\压缩版\第一课-荷花摇摆_1.mp4,1078458963,1078458963,2025-09-03 14:45:45,2025-09-03 14:45:45,true,true,true,ok,
L0109,video,第七节-单侧收胯骨盆的闭合.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\压缩版\第七节-单侧收胯骨盆的闭合.mp4,995521008,995521008,2025-09-03 16:03:28,2025-09-03 16:03:28,true,true,true,ok,
L0110,video,第三课-蝴蝶开合.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\压缩版\第三课-蝴蝶开合.mp4,994104415,994104415,2025-09-03 15:31:05,2025-09-03 15:31:05,true,true,true,ok,
L0111,video,第二课-三维呼吸.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\压缩版\第二课-三维呼吸.mp4,1049111355,1049111355,2025-09-03 15:07:36,2025-09-03 15:07:36,true,true,true,ok,
L0112,video,第五课-古法提肛.mp4,\\192.168.10.102\市场营销中心\品牌部\所有课程\99课程（大赛版）\成片\竖版\压缩版\第五课-古法提肛.mp4,980472348,980472348,2025-09-03 15:39:12,2025-09-03 15:39:12,true,true,true,ok,
